database_id,cohort_id,comparator_cohort_id,start_day,end_day,subjects,sub_cs_before_ts,rec_cs_before_ts,sub_cs_on_ts,rec_cs_on_ts,sub_cs_after_ts,rec_cs_after_ts,sub_cs_before_te,rec_cs_before_te,sub_cs_on_te,rec_cs_on_te,sub_cs_after_te,rec_cs_after_te,sub_cs_window_t,rec_cs_window_t,sub_ce_window_t,rec_ce_window_t,sub_cs_window_ts,rec_cs_window_ts,sub_cs_window_te,rec_cs_window_te,sub_ce_window_ts,rec_ce_window_ts,sub_ce_window_te,rec_ce_window_te,sub_c_within_t,rec_c_within_t,c_days_before_ts,c_days_before_te,c_days_within_t_days,c_days_after_ts,c_days_after_te,t_days,c_days
-274552186,135,144,-9999,0,12207,0,0,0,0,12207,12207,0,0,0,0,12207,12207,12207,12207,12206,12206,12207,12207,12207,12207,24,24,12206,12206,12206,12206,12207,12207,7995554,7996466,7996466,130054078,7996466
-274552186,135,144,-9999,9999,12207,0,0,0,0,12207,12207,0,0,0,0,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,7996466,7996466,7996466,252111871,7996466
-274552186,135,144,-365,-31,11311,0,0,0,0,11311,11311,7170,7170,10,10,4131,4131,11311,11311,-5,-5,0,0,4141,4141,0,0,0,0,-5,-5,11311,4624749,7630905,7982427,3368989,11760120,7982427
-274552186,135,144,-365,0,12207,0,0,0,0,12207,12207,7170,7170,10,10,5027,5027,12207,12207,12206,12206,12207,12207,5037,5037,24,24,12205,12205,12206,12206,12207,4625645,7995554,7996466,3383028,12451840,7996466
-274552186,135,144,-180,0,12207,0,0,0,0,12207,12207,9128,9128,7,7,3072,3072,12207,12207,12206,12206,12207,12207,3079,3079,24,24,12205,12205,12206,12206,12207,6123616,7995554,7996466,1885057,10193545,7996466
-274552186,135,144,-30,-1,12183,0,0,0,0,12183,12183,11311,11311,23,23,849,849,12183,12183,-5,-5,0,0,872,872,0,0,0,0,-5,-5,12183,7643087,7983348,7996442,365538,8349568,7996442
-274552186,135,144,-30,0,12207,0,0,0,0,12207,12207,11311,11311,23,23,873,873,12207,12207,12206,12206,12207,12207,896,896,24,24,12205,12205,12206,12206,12207,7643111,7995554,7996466,365562,8362495,7996466
-274552186,135,144,0,0,12207,0,0,12207,12207,0,0,12183,12183,24,24,0,0,12207,12207,12206,12206,12207,12207,24,24,24,24,12205,12205,12206,12206,12207,7995554,7995554,7996466,13119,7996285,7996466
-274552186,135,144,1,30,12183,12183,12183,0,0,0,0,12183,12183,0,0,0,0,0,0,12182,12182,0,0,0,0,872,872,0,0,0,0,24366,7995531,7983377,7984259,13094,8349568,7996442
-274552186,135,144,31,365,11311,11311,11311,0,0,0,0,11311,11311,0,0,0,0,0,0,11310,11310,0,0,0,0,4141,4141,0,0,0,0,361952,7981546,7631239,7631786,12192,11760120,7982427
-274552186,144,135,-9999,0,12207,0,0,0,0,12207,12207,0,0,0,0,12207,12207,12207,12207,12206,12206,12207,12207,12207,12207,24,24,12206,12206,12206,12206,12207,12207,7995554,7996285,7996285,130054259,7996285
-274552186,144,135,-9999,9999,12207,0,0,0,0,12207,12207,0,0,0,0,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,7996285,7996285,7996285,252112052,7996285
-274552186,144,135,-365,-31,11311,0,0,0,0,11311,11311,7170,7170,10,10,4131,4131,11311,11311,-5,-5,0,0,4141,4141,0,0,0,0,-5,-5,11311,4624641,7630905,7982246,3368916,11760301,7982246
-274552186,144,135,-365,0,12207,0,0,0,0,12207,12207,7170,7170,10,10,5027,5027,12207,12207,12206,12206,12207,12207,5037,5037,24,24,12205,12205,12206,12206,12207,4625537,7995554,7996285,3382955,12452021,7996285
-274552186,144,135,-180,0,12207,0,0,0,0,12207,12207,9128,9128,7,7,3072,3072,12207,12207,12206,12206,12207,12207,3079,3079,24,24,12205,12205,12206,12206,12207,6123616,7995554,7996285,1884876,10193726,7996285
-274552186,144,135,-30,-1,12183,0,0,0,0,12183,12183,11311,11311,23,23,849,849,12183,12183,-5,-5,0,0,872,872,0,0,0,0,-5,-5,12183,7643087,7983348,7996261,365357,8349749,7996261
-274552186,144,135,-30,0,12207,0,0,0,0,12207,12207,11311,11311,23,23,873,873,12207,12207,12206,12206,12207,12207,896,896,24,24,12205,12205,12206,12206,12207,7643111,7995554,7996285,365381,8362676,7996285
-274552186,144,135,0,0,12207,0,0,12207,12207,0,0,12183,12183,24,24,0,0,12207,12207,12206,12206,12207,12207,24,24,24,24,12205,12205,12206,12206,12207,7995554,7995554,7996285,12938,7996466,7996285
-274552186,144,135,1,30,12183,12183,12183,0,0,0,0,12183,12183,0,0,0,0,0,0,12182,12182,0,0,0,0,872,872,0,0,0,0,24366,7995531,7983377,7984078,12913,8349749,7996261
-274552186,144,135,31,365,11311,11311,11311,0,0,0,0,11311,11311,0,0,0,0,0,0,11310,11310,0,0,0,0,4141,4141,0,0,0,0,361952,7981546,7631239,7631605,12011,11760301,7982246
