ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
35614201,35614201,0,0
35614211,35614211,0,0
35614232,35614232,0,0
35614233,35614233,0,0
35614245,35614245,0,0
35614255,35614255,0,0
35614256,35614256,0,0
4031850,4031850,0,0
4052488,4052488,0,0
4074892,4074892,0,0
4335161,4335161,0,0
4337739,4337739,0,0
4270024,4270024,0,0
4184832,4184832,0,0
4189164,4189164,0,0
4225958,4225958,0,0
4173614,4173614,0,0
4175026,4175026,0,0
4329263,4329263,0,0
4196155,4196155,0,0
4333470,4333470,0,0
4334807,4334807,0,0
4161531,4161531,0,0
4258412,4258412,0,0
40483126,40483126,0,0
40491498,40491498,0,0
4163995,4163995,0,0
45772472,45772472,0,0
45763528,45763528,0,0
43021737,43021737,0,0
4211674,4211674,0,0
43531440,43531440,0,0
4289459,4289459,0,0
45769224,45769224,0,0
36717088,36717088,0,0
44803621,44803621,0,0
4250325,4250325,0,0
4216356,4216356,0,0
3654311,3654311,0,0
4307818,4307818,0,0
3661530,3661530,0,0
4225903,4225903,0,0
3661641,3661641,0,0
3661643,3661643,0,0
3661645,3661645,0,0
45770795,45770795,0,0
36675054,2787197,7,8
36675054,2725964,7,9
36675054,44789455,6,7
36675054,2725931,7,9
36675054,2725924,6,9
36675054,42894604,7,9
36675054,4327260,4,7
36675054,2725934,7,9
36675054,4178148,6,7
36675054,2725943,7,9
36675054,4305021,4,7
36675054,2788625,5,8
36675054,42894669,7,9
36675054,2725471,7,9
36675054,42894695,6,9
36675054,4019824,4,7
36675054,2725954,7,9
36675054,42894663,7,9
36675054,2787579,3,8
36675054,2725948,6,9
36675054,42894627,6,9
36675054,2725470,7,9
36675054,42894624,6,9
36675054,2617342,5,5
36675054,2725945,6,9
36675054,2725947,6,9
36675054,42894691,6,9
36675054,4331514,4,7
36675054,2725958,7,9
36675054,2313878,4,8
36675054,43527996,5,9
36675054,4098216,4,7
36675054,44805203,5,8
36675054,42894628,6,9
36675054,42894659,7,9
36675054,2725932,7,9
36675054,2725953,7,9
36675054,42894661,7,9
36675054,2211763,4,8
36675054,2786060,4,8
36675054,42894475,6,9
36675054,42894651,7,9
36675054,44514109,4,7
36675054,2788631,3,8
36675054,2313914,4,8
36675054,42894633,6,9
36675054,2001504,5,7
36675054,2788617,5,8
36675054,3181809,7,10
36675054,4020653,8,10
36675054,2616266,5,8
36675054,43527999,5,9
36675054,42894609,7,9
36675054,2725961,7,9
36675054,42894603,7,9
36675054,2725940,7,9
36675054,2725913,7,9
36675054,4084945,4,8
36675054,2725933,7,9
36675054,2313871,3,8
36675054,42894675,7,9
36675054,4199240,5,8
40765595,40769125,2,2
40483126,42539210,1,1
441840,4148418,3,3
43018568,42894691,1,1
43019072,42894695,1,1
43019892,42894624,1,1
43018683,42894609,1,1
43019334,42894475,1,1
441840,3661646,8,13
441840,45769929,4,4
441840,3661547,8,13
45888128,42628190,2,2
45888880,2313871,2,2
45889197,2108583,3,3
45889197,2313881,4,4
45889197,2313914,6,6
45887773,2211763,1,1
45888880,2313879,3,3
45888880,2313878,2,2
45889197,43527996,6,6
45889197,2313879,5,5
45888880,43527999,4,4
45889197,2514556,3,3
45889197,42628190,3,3
45889197,2213558,4,5
45888880,2313881,2,2
45889197,2313871,4,4
45888880,43527996,4,4
45889197,43527999,6,6
45889197,2313878,4,4
45888161,2213558,2,2
45889197,2211763,6,6
45888880,2313914,4,4
441840,604429,7,12
3654466,604429,1,1
4043023,4332088,6,8
4040551,2617369,6,9
4040390,2617369,6,11
4051039,2617369,4,4
4040400,2617369,6,10
4043022,2617369,5,10
4029205,2617369,6,11
4042646,2788631,2,3
4028071,3661646,9,11
4029205,4178148,6,6
4028071,761736,9,11
4040390,4332088,6,9
4029205,2787197,3,4
4043346,604429,6,8
4028071,3661547,9,11
4043022,4332088,6,9
