concept_id,concept_synonym_name,language_concept_id
42535077,At risk for readmission to hospital (finding),4180186
42535579,Echocardiogram (2D) of fetus,4180186
42535579,Two dimensional echocardiography of fetus (procedure),4180186
42739676,Discontinued Out-Patient Hospital/Ambulatory Surgery Center (ASC) Procedure After Administration of Anesthesia | [Therapeutic or Preventive Procedure],4180186
36715185,Fluoroscopic angiography of anterior tibial artery using contrast with insertion of drug eluting stent (procedure),4180186
36715185,Arteriogram of anterior tibial artery using contrast with insertion of drug eluting stent,4180186
36715185,Angiogram of anterior tibial artery using contrast with insertion of drug eluting stent,4180186
36715185,Fluoroscopic angiography of anterior tibial artery using contrast with insertion of drug eluting stent,4180186
36715185,Arteriography of anterior tibial artery using contrast with insertion of drug eluting stent,4180186
36715185,Fluoroscopic arteriography of anterior tibial artery using contrast with insertion of drug eluting stent (procedure),4180186
37019017,Education about hospitalisation,4180186
37019017,Education about hospitalization (procedure),4180186
38004270,"Hospital Units, Epilepsy Unit",4180186
38004274,"Hospital Units, Rehabilitation, Substance Use Disorder Unit",4180186
38004278,"Hospitals, Religious Nonmedical Health Care Institution",4180186
40488479,Intracardiac echocardiography with contrast (procedure),4180186
40492792,Three dimensional transoesophageal echocardiography,4180186
40492792,Three dimensional transesophageal echocardiography,4180186
40492792,Three dimensional transesophageal ultrasonography of heart (procedure),4180186
40492792,Three dimensional transoesophageal ultrasonography of heart,4180186
40492792,Transoesophageal three dimensional ultrasonography of heart,4180186
40492792,Ultrasound transoesophageal echocardiogram 3D (three dimensional),4180186
42742423,LVEF GREATER THAN 35%,4180186
42742423,Left ventricular ejection fraction (LVEF) greater than 35% or no LVEF result available (HF) | [Finding],4180186
42894477,"Medical and Surgical @ Heart and Great Vessels @ Dilation @ Coronary Artery, One Artery @ Open @ Intraluminal Device, Four or More @ Bifurcation",4180186
42894477,"Dilate 1 Cor Art, Bifurc, w 4+ Intralum Dev, Open",4180186
42894595,"Dilation of 3 Cor Art with 3 Intralum Dev, Open Approach",4180186
42894595,"Medical and Surgical @ Heart and Great Vessels @ Dilation @ Coronary Artery, Three Arteries @ Open @ Intraluminal Device, Three @ No Qualifier",4180186
42894602,"Medical and Surgical @ Heart and Great Vessels @ Dilation @ Coronary Artery, Three Arteries @ Percutaneous @ Intraluminal Device, Drug-eluting, Four or More @ Bifurcation",4180186
42894602,"Dilate of 3 Cor Art, Bifurc, with 4 Drug-elut, Perc Approach",4180186
42894616,"Dilate 3 Cor Art, Bifurc, w 2 Intralum Dev, Perc Endo",4180186
42894616,"Medical and Surgical @ Heart and Great Vessels @ Dilation @ Coronary Artery, Three Arteries @ Percutaneous Endoscopic @ Intraluminal Device, Two @ Bifurcation",4180186
42894617,"Dilate of 3 Cor Art with 2 Intralum Dev, Perc Endo Approach",4180186
42894617,"Medical and Surgical @ Heart and Great Vessels @ Dilation @ Coronary Artery, Three Arteries @ Percutaneous Endoscopic @ Intraluminal Device, Two @ No Qualifier",4180186
42894620,"Dilate 3 Cor Art, Bifurc, w 4+ Intralum Dev, Perc Endo",4180186
