database_id,cohort_id,concept_set_id,concept_id,source_concept_id,concept_subjects,concept_count
-274552186,135,44,604427,604427,-5,-5
-274552186,135,44,3661502,3661502,-5,-5
-274552186,135,44,3661503,3661503,-5,11
-274552186,135,44,3661520,3661520,-5,6
-274552186,135,44,3661524,3661524,-5,-5
-274552186,135,44,3661547,3661547,-5,-5
-274552186,135,44,3661642,3661642,-5,-5
-274552186,135,44,3661643,3661643,-5,-5
-274552186,135,44,3661644,3661644,-5,-5
-274552186,135,44,3661646,3661646,-5,-5
-274552186,135,44,4296653,4296653,17493,55977
-274552186,135,44,4296653,35207684,188196,640931
-274552186,135,44,4296653,45557536,24782,67318
-274552186,135,44,4296653,45572080,13918,46647
-274552186,135,44,4296653,45576865,62539,230742
-274552186,135,44,4296653,45605779,80759,316758
-274552186,135,44,4296653,2016081266,60,162
-274552186,135,44,4296653,2016138367,34,51
-274552186,135,44,4296653,2016149162,-5,-5
-274552186,135,44,4296653,2016181449,11,23
-274552186,135,44,4296653,2016211024,10,48
-274552186,135,44,4296653,2016219154,108,416
-274552186,135,44,4296653,2016275600,46,72
-274552186,135,44,4296653,2016310956,6,10
-274552186,135,44,4296653,2016327228,24,88
-274552186,135,44,4296653,2016340727,18,41
-274552186,135,44,4296653,2016508091,60,95
-274552186,135,44,4296653,2016558624,10,22
-274552186,135,44,4296653,2016636432,-5,-5
-274552186,135,44,4296653,2016664990,30,64
-274552186,135,44,4296653,2016742701,-5,24
-274552186,135,44,4296653,2016743699,30,65
-274552186,135,44,4296653,2016842974,13,27
-274552186,135,44,4296653,2016907113,-5,6
-274552186,135,44,4296653,2016916449,8,8
-274552186,135,44,4296653,2016948599,29,63
-274552186,135,44,4296653,2016964604,-5,-5
-274552186,135,44,4296653,2016976196,-5,5
-274552186,135,44,4296653,2016982528,17,38
-274552186,135,44,4296653,2016989691,56,113
-274552186,135,44,4296653,2017029270,-5,24
-274552186,135,44,4296653,2017051478,-5,-5
-274552186,135,44,4296653,2017078105,24,34
-274552186,135,44,4296653,2033796018,-5,19
-274552186,135,44,35611570,35611570,12,42
-274552186,135,44,35611571,35611571,5,10
-274552186,135,44,43020460,43020460,488,1656
-274552186,135,44,43020460,45572079,48814,201353
-274552186,135,44,43020460,2016868027,8,10
-274552186,135,44,45766075,1569127,6,8
-274552186,135,44,45766075,45766075,100,355
-274552186,135,44,45766076,45766076,-5,-5
-274552186,135,44,45766116,1569128,-5,-5
-274552186,135,44,45766116,45766116,188,626
-274552186,135,44,45766151,45766151,-5,12
-274552186,135,44,46270158,46270158,5,12
-274552186,135,44,46270159,46270159,35,189
-274552186,135,44,46270160,46270160,30,93
-274552186,135,44,46270161,46270161,20,54
-274552186,135,44,46270162,43020461,32,104
-274552186,135,44,46270162,45562340,6558,18190
-274552186,135,44,46270162,46270162,29,99
-274552186,135,44,46270163,45533436,46602,168940
-274552186,135,44,46270163,46270163,39,84
-274552186,135,44,46270163,2016075208,20,37
-274552186,135,44,46270163,2016199352,10,16
-274552186,135,44,46270163,2016884734,26,37
-274552186,135,44,46270164,46270164,5,28
-274552186,135,44,46274044,46274044,11,29
-274552186,135,45,4270024,4270024,50704,177110
-274552186,135,45,4270024,35207685,518313,3299918
-274552186,135,45,4270024,2016096565,34,64
-274552186,135,45,4270024,2016276876,7,21
-274552186,135,45,4270024,2016343841,25,36
-274552186,135,45,4270024,2016385167,-5,-5
-274552186,135,45,4270024,2016445510,-5,6
-274552186,135,45,4270024,2016510524,107,203
-274552186,135,45,4270024,2016519829,8,39
-274552186,135,45,4270024,2016549854,79,137
-274552186,135,45,4270024,2016581204,7,17
-274552186,135,45,4270024,2016615172,6,8
-274552186,135,45,4270024,2016684536,7,11
-274552186,135,45,4270024,2016686491,60,81
-274552186,135,45,4270024,2016796825,7,8
-274552186,135,45,4270024,2016928256,344,989
-274552186,135,45,4270024,2016971068,34,66
-274552186,135,45,4270024,2017035708,-5,-5
-274552186,135,45,4270024,2017095815,22,27
-274552186,135,45,35615053,35615053,73,129
-274552186,135,45,36712982,36712982,2671,5285
-274552186,135,45,36712982,45586574,816,1756
-274552186,135,45,36712982,45601024,376484,1327740
-274552186,135,46,2107213,2107213,876,1337
-274552186,135,46,2313801,2313801,148291,221107
-274552186,135,46,2313801,2016380798,114,1880
-274552186,135,46,2313801,2016737486,22,269
-274552186,135,46,2313801,2016894853,-5,-5
-274552186,135,46,2313801,2017023651,5,46
-274552186,135,46,2313802,2313802,3101,3846
-274552186,135,46,2313802,2016891058,5,48
-274552186,135,46,2313803,2313803,50817,84294
-274552186,135,46,2313803,2016080532,23,608
-274552186,135,46,2313804,2313804,298,474
-274552186,135,46,2313810,2313810,416,650
-274552186,135,46,2313811,2313811,-5,20
-274552186,135,46,2617369,2617369,-5,-5
-274552186,135,46,2725468,2725468,61,61
-274552186,135,46,2725469,2725469,33,33
-274552186,135,46,2725470,2725470,330,338
-274552186,135,46,2725471,2725471,-5,-5
-274552186,135,46,2725472,2725472,30,32
-274552186,135,46,2725475,2725475,-5,-5
-274552186,135,46,2725476,2725476,73,74
-274552186,135,46,2725478,2725478,-5,-5
-274552186,135,46,2725480,2725480,-5,-5
-274552186,135,46,2725896,2725896,6,6
-274552186,135,46,2725897,2725897,120,123
-274552186,135,46,2725898,2725898,-5,-5
