concept_id,concept_count,subject_count,cohort_id,database_id,domain_field,domain_table
45766075,-5,-5,135,-274552186,condition_concept_id,condition_occurrence
45766075,-5,-5,135,-274552186,condition_source_concept_id,condition_occurrence
4296653,18,9,135,-274552186,condition_source_concept_id,condition_occurrence
45562340,2412,867,135,-274552186,condition_source_concept_id,condition_occurrence
46270162,2412,867,135,-274552186,condition_concept_id,condition_occurrence
45572080,16400,4641,135,-274552186,condition_source_concept_id,condition_occurrence
45557536,20178,4959,135,-274552186,condition_source_concept_id,condition_occurrence
45533436,68908,17745,135,-274552186,condition_source_concept_id,condition_occurrence
46270163,68908,17745,135,-274552186,condition_concept_id,condition_occurrence
45572079,72674,17673,135,-274552186,condition_source_concept_id,condition_occurrence
43020460,72674,17673,135,-274552186,condition_concept_id,condition_occurrence
45576865,106302,20081,135,-274552186,condition_source_concept_id,condition_occurrence
35207684,148396,42149,135,-274552186,condition_source_concept_id,condition_occurrence
45605779,160876,28259,135,-274552186,condition_source_concept_id,condition_occurrence
4296653,452170,59441,135,-274552186,condition_concept_id,condition_occurrence
4296653,-5,-5,144,-274552186,condition_source_concept_id,condition_occurrence
45562340,426,148,144,-274552186,condition_source_concept_id,condition_occurrence
46270162,426,148,144,-274552186,condition_concept_id,condition_occurrence
45572080,3120,911,144,-274552186,condition_source_concept_id,condition_occurrence
45557536,3588,910,144,-274552186,condition_source_concept_id,condition_occurrence
46270163,12582,3354,144,-274552186,condition_concept_id,condition_occurrence
45533436,12582,3354,144,-274552186,condition_source_concept_id,condition_occurrence
45572079,12714,3229,144,-274552186,condition_source_concept_id,condition_occurrence
43020460,12714,3229,144,-274552186,condition_concept_id,condition_occurrence
45576865,18620,3755,144,-274552186,condition_source_concept_id,condition_occurrence
35207684,25576,7654,144,-274552186,condition_source_concept_id,condition_occurrence
45605779,28718,5492,144,-274552186,condition_source_concept_id,condition_occurrence
4296653,79626,11499,144,-274552186,condition_concept_id,condition_occurrence
