cohort_id,concept_set_id,concept_id,database_id
135,46,42894691,-274552186
144,46,42894691,-274552186
135,46,2725941,-274552186
144,46,2725941,-274552186
135,46,2725924,-274552186
144,46,2725924,-274552186
135,46,42894688,-274552186
144,46,42894688,-274552186
135,46,35614237,-274552186
144,46,35614237,-274552186
135,46,2725939,-274552186
144,46,2725939,-274552186
135,46,42894628,-274552186
144,46,42894628,-274552186
135,48,4171076,-274552186
144,48,4171076,-274552186
135,48,4305721,-274552186
144,48,4305721,-274552186
135,44,3661643,-274552186
144,44,3661643,-274552186
135,46,2725966,-274552186
144,46,2725966,-274552186
135,46,2725925,-274552186
144,46,2725925,-274552186
135,46,3180695,-274552186
144,46,3180695,-274552186
135,46,45768093,-274552186
144,46,45768093,-274552186
135,46,42894643,-274552186
144,46,42894643,-274552186
135,46,45759254,-274552186
144,46,45759254,-274552186
135,46,44789455,-274552186
144,46,44789455,-274552186
135,46,2725923,-274552186
144,46,2725923,-274552186
135,48,2786617,-274552186
144,48,2786617,-274552186
135,48,2786407,-274552186
144,48,2786407,-274552186
135,48,4196155,-274552186
144,48,4196155,-274552186
135,46,42894620,-274552186
144,46,42894620,-274552186
135,46,44511271,-274552186
144,46,44511271,-274552186
135,46,43527909,-274552186
144,46,43527909,-274552186
135,47,38004275,-274552186
144,47,38004275,-274552186
135,48,2788625,-274552186
144,48,2788625,-274552186
135,48,4199054,-274552186
144,48,4199054,-274552186
135,48,40479237,-274552186
144,48,40479237,-274552186
135,48,2211776,-274552186
144,48,2211776,-274552186
135,48,2786059,-274552186
144,48,2786059,-274552186
135,46,2725967,-274552186
144,46,2725967,-274552186
135,46,35614222,-274552186
144,46,35614222,-274552186
135,48,4084945,-274552186
144,48,4084945,-274552186
135,44,3661642,-274552186
144,44,3661642,-274552186
135,44,35611570,-274552186
144,44,35611570,-274552186
135,46,42894666,-274552186
144,46,42894666,-274552186
135,46,2725956,-274552186
144,46,2725956,-274552186
135,46,2725467,-274552186
144,46,2725467,-274552186
135,46,35614240,-274552186
144,46,35614240,-274552186
135,46,2725945,-274552186
144,46,2725945,-274552186
135,46,42894588,-274552186
144,46,42894588,-274552186
135,46,43528003,-274552186
144,46,43528003,-274552186
135,46,42894705,-274552186
144,46,42894705,-274552186
135,46,2787195,-274552186
144,46,2787195,-274552186
135,46,42894476,-274552186
144,46,42894476,-274552186
135,46,2001501,-274552186
144,46,2001501,-274552186
135,46,35614227,-274552186
144,46,35614227,-274552186
135,48,2616271,-274552186
144,48,2616271,-274552186
135,48,4151632,-274552186
144,48,4151632,-274552186
135,44,4296653,-274552186
144,44,4296653,-274552186
135,45,37395582,-274552186
144,45,37395582,-274552186
135,46,2725922,-274552186
144,46,2725922,-274552186
135,46,42894623,-274552186
144,46,42894623,-274552186
135,46,42894477,-274552186
144,46,42894477,-274552186
135,46,35607959,-274552186
144,46,35607959,-274552186
135,46,35614226,-274552186
144,46,35614226,-274552186
135,48,4179324,-274552186
144,48,4179324,-274552186
135,48,2786046,-274552186
144,48,2786046,-274552186
135,48,37209048,-274552186
144,48,37209048,-274552186
135,48,2313873,-274552186
144,48,2313873,-274552186
135,46,42894715,-274552186
144,46,42894715,-274552186
135,46,42894707,-274552186
144,46,42894707,-274552186
135,46,2725936,-274552186
144,46,2725936,-274552186
135,46,43533223,-274552186
144,46,43533223,-274552186
135,46,45758897,-274552186
144,46,45758897,-274552186
135,46,42894650,-274552186
144,46,42894650,-274552186
135,46,2725953,-274552186
144,46,2725953,-274552186
135,46,42894646,-274552186
144,46,42894646,-274552186
135,46,42894654,-274552186
144,46,42894654,-274552186
135,46,45773302,-274552186
144,46,45773302,-274552186
135,47,38004284,-274552186
144,47,38004284,-274552186
135,48,4329506,-274552186
144,48,4329506,-274552186
135,48,36717088,-274552186
144,48,36717088,-274552186
135,48,2788411,-274552186
144,48,2788411,-274552186
135,48,45773079,-274552186
144,48,45773079,-274552186
135,44,3661520,-274552186
144,44,3661520,-274552186
135,46,35614250,-274552186
144,46,35614250,-274552186
135,46,2725465,-274552186
144,46,2725465,-274552186
135,46,2725951,-274552186
144,46,2725951,-274552186
135,46,43527998,-274552186
144,46,43527998,-274552186
135,46,35614207,-274552186
144,46,35614207,-274552186
135,48,2788611,-274552186
144,48,2788611,-274552186
135,48,2786638,-274552186
144,48,2786638,-274552186
135,48,44805204,-274552186
144,48,44805204,-274552186
135,46,2787196,-274552186
144,46,2787196,-274552186
135,46,35614201,-274552186
144,46,35614201,-274552186
135,46,42894590,-274552186
144,46,42894590,-274552186
135,46,2725913,-274552186
144,46,2725913,-274552186
135,46,2725909,-274552186
144,46,2725909,-274552186
135,46,42894600,-274552186
144,46,42894600,-274552186
135,48,2616264,-274552186
144,48,2616264,-274552186
135,48,4331514,-274552186
144,48,4331514,-274552186
135,48,4059699,-274552186
144,48,4059699,-274552186
135,46,43533352,-274552186
144,46,43533352,-274552186
135,46,42894604,-274552186
144,46,42894604,-274552186
135,46,3655773,-274552186
144,46,3655773,-274552186
135,46,35614251,-274552186
144,46,35614251,-274552186
135,46,45763528,-274552186
144,46,45763528,-274552186
135,48,4171199,-274552186
144,48,4171199,-274552186
135,48,2788631,-274552186
144,48,2788631,-274552186
135,48,2616272,-274552186
144,48,2616272,-274552186
135,48,4161943,-274552186
144,48,4161943,-274552186
135,48,2786419,-274552186
144,48,2786419,-274552186
135,46,42894599,-274552186
144,46,42894599,-274552186
135,46,35614252,-274552186
144,46,35614252,-274552186
135,46,2725962,-274552186
144,46,2725962,-274552186
135,46,2725920,-274552186
144,46,2725920,-274552186
135,46,2725928,-274552186
144,46,2725928,-274552186
135,46,2725919,-274552186
144,46,2725919,-274552186
135,46,3661525,-274552186
144,46,3661525,-274552186
135,46,2725944,-274552186
144,46,2725944,-274552186
135,46,42894611,-274552186
144,46,42894611,-274552186
135,46,2725468,-274552186
144,46,2725468,-274552186
135,47,38004515,-274552186
144,47,38004515,-274552186
135,48,2616265,-274552186
144,48,2616265,-274552186
135,48,43021423,-274552186
144,48,43021423,-274552186
135,48,4331964,-274552186
144,48,4331964,-274552186
135,46,45757957,-274552186
144,46,45757957,-274552186
135,46,2617370,-274552186
144,46,2617370,-274552186
135,46,2725484,-274552186
144,46,2725484,-274552186
135,48,2786051,-274552186
144,48,2786051,-274552186
135,48,2786065,-274552186
144,48,2786065,-274552186
135,48,2313913,-274552186
144,48,2313913,-274552186
135,48,2787377,-274552186
144,48,2787377,-274552186
