cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,NA,62073,62073,40355330,40355330,62073,62073,62073,62073,62073,62073
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,NA,48022,48022,31382699,31382699,48022,48022,48022,48022,48022,48022
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,NA,14051,14051,8972631,8972631,14051,14051,14051,14051,14051,14051
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,50-59,14021,14021,8688240,8688240,14021,14021,14021,14021,14021,14021
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,30-39,12774,12774,7889448,7889448,12774,12774,12774,12774,12774,12774
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,20-29,3031,3031,1705747,1705747,3031,3031,3031,3031,3031,3031
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,70-79,-5,-5,592,592,-5,-5,-5,-5,-5,-5
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,10-19,384,384,197799,197799,384,384,384,384,384,384
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,60-69,5855,5855,4291748,4291748,5855,5855,5855,5855,5855,5855
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,40-49,25984,25984,17570154,17570154,25984,25984,25984,25984,25984,25984
135,-274552186,2006-01-01,2023-04-13,T1,c,NULL,0-9,22,22,11602,11602,22,22,22,22,22,22
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,20-29,2436,2436,1371229,1371229,2436,2436,2436,2436,2436,2436
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,70-79,-5,-5,533,533,-5,-5,-5,-5,-5,-5
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,20-29,595,595,334518,334518,595,595,595,595,595,595
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,30-39,10405,10405,6465984,6465984,10405,10405,10405,10405,10405,10405
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,10-19,298,298,152692,152692,298,298,298,298,298,298
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,50-59,10690,10690,6708874,6708874,10690,10690,10690,10690,10690,10690
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,10-19,86,86,45107,45107,86,86,86,86,86,86
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,0-9,15,15,6720,6720,15,15,15,15,15,15
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,40-49,5294,5294,3470678,3470678,5294,5294,5294,5294,5294,5294
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,70-79,-5,-5,59,59,-5,-5,-5,-5,-5,-5
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,40-49,20690,20690,14099476,14099476,20690,20690,20690,20690,20690,20690
135,-274552186,2006-01-01,2023-04-13,T1,c,MALE,60-69,3487,3487,2577191,2577191,3487,3487,3487,3487,3487,3487
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,60-69,2368,2368,1714557,1714557,2368,2368,2368,2368,2368,2368
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,0-9,7,7,4882,4882,7,7,7,7,7,7
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,50-59,3331,3331,1979366,1979366,3331,3331,3331,3331,3331,3331
135,-274552186,2006-01-01,2023-04-13,T1,c,FEMALE,30-39,2369,2369,1423464,1423464,2369,2369,2369,2369,2369,2369
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,NA,106383,62073,129628189,0,106383,62073,0,106383,62073,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,NA,81939,48022,100018682,0,81939,48022,0,81939,48022,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,NA,24444,14051,29609507,0,24444,14051,0,24444,14051,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,20-29,5394,3031,5747365,0,5394,3031,0,5394,3031,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,0-9,30,22,36292,0,30,22,0,30,22,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,30-39,22487,12774,25576018,0,22487,12774,0,22487,12774,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,40-49,45225,25984,55210753,0,45225,25984,0,45225,25984,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,60-69,9316,5855,14260512,0,9316,5855,0,9316,5855,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,70-79,-5,-5,3559,0,-5,-5,0,-5,-5,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,50-59,23273,14021,28162153,0,23273,14021,0,23273,14021,0
135,-274552186,2006-01-01,2023-04-13,T2,c,NULL,10-19,655,384,631537,0,655,384,0,655,384,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,70-79,-5,-5,1977,0,-5,-5,0,-5,-5,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,70-79,-5,-5,1582,0,-5,-5,0,-5,-5,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,30-39,4292,2369,4685486,0,4292,2369,0,4292,2369,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,30-39,18195,10405,20890532,0,18195,10405,0,18195,10405,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,10-19,147,86,143770,0,147,86,0,147,86,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,10-19,508,298,487767,0,508,298,0,508,298,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,0-9,10,7,10912,0,10,7,0,10,7,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,20-29,1088,595,1149137,0,1088,595,0,1088,595,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,0-9,20,15,25380,0,20,15,0,20,15,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,40-49,35732,20690,44062098,0,35732,20690,0,35732,20690,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,60-69,5542,3487,8473533,0,5542,3487,0,5542,3487,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,20-29,4306,2436,4598228,0,4306,2436,0,4306,2436,0
135,-274552186,2006-01-01,2023-04-13,T2,c,MALE,50-59,17635,10690,21479167,0,17635,10690,0,17635,10690,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,50-59,5638,3331,6682986,0,5638,3331,0,5638,3331,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,40-49,9493,5294,11148655,0,9493,5294,0,9493,5294,0
135,-274552186,2006-01-01,2023-04-13,T2,c,FEMALE,60-69,3774,2368,5786979,0,3774,2368,0,3774,2368,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,NA,309,309,5727,0,309,309,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,NA,219,219,4018,0,219,219,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,NA,90,90,1709,0,90,90,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,30-39,40,40,707,0,40,40,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,10-19,-5,-5,14,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,40-49,127,127,2340,0,127,127,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,20-29,11,11,218,0,11,11,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,50-59,68,68,1326,0,68,68,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,NULL,60-69,62,62,1122,0,62,62,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,20-29,-5,-5,47,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,10-19,-5,-5,14,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,40-49,32,32,570,0,32,32,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,60-69,35,35,601,0,35,35,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,40-49,95,95,1770,0,95,95,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,60-69,27,27,521,0,27,27,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,20-29,9,9,171,0,9,9,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,30-39,10,10,189,0,10,10,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,FEMALE,50-59,19,19,382,0,19,19,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,50-59,49,49,944,0,49,49,0,0,0,0
135,-274552186,2006-01-01,2006-01-31,T2,m,MALE,30-39,30,30,518,0,30,30,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,NA,582,582,32500,0,582,582,0,6,6,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,NA,414,414,22873,0,414,414,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,NA,168,168,9627,0,168,168,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,20-29,22,22,1191,0,22,22,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,40-49,235,235,13423,0,235,235,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,60-69,106,106,6080,0,106,106,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,30-39,72,72,4066,0,72,72,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,10-19,-5,-5,119,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,NULL,50-59,145,145,7621,0,145,145,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,50-59,35,35,2035,0,35,35,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,20-29,7,7,317,0,7,7,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,40-49,170,170,9807,0,170,170,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,30-39,52,52,2994,0,52,52,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,40-49,65,65,3616,0,65,65,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,10-19,-5,-5,119,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,60-69,41,41,2587,0,41,41,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,50-59,110,110,5586,0,110,110,0,-5,-5,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,20-29,15,15,874,0,15,15,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,FEMALE,30-39,20,20,1072,0,20,20,0,0,0,0
135,-274552186,2006-01-01,2006-03-31,T2,q,MALE,60-69,65,65,3493,0,65,65,0,0,0,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,NA,1108,1108,268629,0,1108,1108,0,32,32,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,NA,794,794,192989,0,794,794,0,20,20,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,NA,314,314,75640,0,314,314,0,12,12,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,40-49,412,412,103457,0,412,412,0,12,12,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,50-59,297,297,70293,0,297,297,0,5,5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,60-69,183,183,46686,0,183,183,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,30-39,175,175,38175,0,175,175,0,8,8,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,10-19,5,5,1171,0,5,5,0,0,0,0
135,-274552186,2006-01-01,2006-12-31,T2,y,NULL,20-29,36,36,8847,0,36,36,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,30-39,40,40,8933,0,40,40,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,50-59,220,220,52354,0,220,220,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,30-39,135,135,29242,0,135,135,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,10-19,-5,-5,129,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,40-49,298,298,75135,0,298,298,0,9,9,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,60-69,73,73,18046,0,73,73,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,20-29,9,9,2271,0,9,9,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,10-19,-5,-5,1042,0,-5,-5,0,0,0,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,60-69,110,110,28640,0,110,110,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,50-59,77,77,17939,0,77,77,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,FEMALE,40-49,114,114,28322,0,114,114,0,-5,-5,0
135,-274552186,2006-01-01,2006-12-31,T2,y,MALE,20-29,27,27,6576,0,27,27,0,-5,-5,0
