cohort_id,visit_concept_id,visit_context,subjects,database_id
135,32036,After,6819,-274552186
144,581458,Before,4142,-274552186
144,581458,After,7538,-274552186
144,9202,On visit start,595,-274552186
135,9203,After,7448,-274552186
144,9203,On visit start,80,-274552186
144,9201,During visit,10,-274552186
135,5083,Before,214,-274552186
144,9201,On visit start,4524,-274552186
144,32036,Before,742,-274552186
135,9202,Before,26839,-274552186
135,581478,After,1850,-274552186
144,581476,After,16,-274552186
135,9201,On visit start,22160,-274552186
135,9203,On visit start,552,-274552186
135,32036,On visit start,-5,-274552186
135,581478,On visit start,196,-274552186
144,262,On visit start,7731,-274552186
135,581458,After,38457,-274552186
135,9203,Before,3169,-274552186
144,581478,Before,185,-274552186
144,9202,Before,5190,-274552186
135,581458,On visit start,1548,-274552186
144,32036,After,1320,-274552186
135,42898160,Before,-5,-274552186
135,581458,Before,21769,-274552186
144,9201,Before,242,-274552186
144,42898160,After,29,-274552186
144,9201,After,5287,-274552186
144,9203,Before,632,-274552186
144,5083,Before,49,-274552186
144,581458,On visit start,300,-274552186
135,262,During visit,28,-274552186
135,9201,Before,1380,-274552186
144,9203,After,1540,-274552186
135,32036,Before,3910,-274552186
135,9203,During visit,10,-274552186
135,9202,After,55142,-274552186
144,262,Before,79,-274552186
144,9202,After,10813,-274552186
135,9201,After,28669,-274552186
144,262,After,334,-274552186
135,9202,During visit,195,-274552186
135,581476,Before,49,-274552186
135,9202,On visit start,3078,-274552186
135,262,Before,434,-274552186
135,42898160,After,130,-274552186
144,262,During visit,-5,-274552186
135,9201,During visit,70,-274552186
144,581476,Before,5,-274552186
135,5083,After,662,-274552186
144,9202,During visit,39,-274552186
135,262,On visit start,40200,-274552186
135,581478,Before,981,-274552186
144,581478,After,355,-274552186
144,5083,After,138,-274552186
135,262,After,1756,-274552186
135,581476,After,114,-274552186
135,581478,During visit,-5,-274552186
144,581478,On visit start,13,-274552186
