vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
NFC,New Form Code (EphMRA),http://www.ephmra.org/New-Form-Codes-Classification,NFC 20160704,245
APC,Ambulatory Payment Classification (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/HospitalOutpatientPPS/Hospital-Outpatient-Regulations-and-Notices.html,2018-January-Addendum-A,44819132
LPD_Australia,Longitudinal Patient Data Australia (IQVIA),IQVIA proprietary,LPD_Australia 2022-05-31,5045
Cost Type,OMOP Cost Type,OMOP generated,,5029
Note Type,OMOP Note Type,OMOP generated,,44819146
RxNorm,RxNorm (NLM),http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,RxNorm 20220801,44819104
NUCC,National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC),http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132,2018-06-26 NUCC,44819137
HES Specialty,Hospital Episode Statistics Specialty (NHS),http://www.datadictionary.nhs.uk/data_dictionary/attributes/m/main_specialty_code_de.asp?shownav=0,2018-06-26 HES Specialty,44819145
Meas Type,OMOP Measurement Type,OMOP generated,,44819152
Nebraska Lexicon,Nebraska Lexicon,https://www.unmc.edu/pathology-research/bioinformatics/campbell/tdc.html,Nebraska Lexicon 20190816,32757
UB04 Pri Typ of Adm,UB04 Claim Inpatient Admission Type Code (CMS),https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code,,32046
BDPM,Public Database of Medications (Social-Sante),http://base-donnees-publique.medicaments.gouv.fr/telechargement.php,BDPM 20191006,236
ICDO3,"International Classification of Diseases for Oncology, Third Edition (WHO)",https://seer.cancer.gov/icd-o-3/,ICDO3 SEER Site/Histology Released 06/2020,581426
ATC,WHO Anatomic Therapeutic Chemical Classification,http://www.whocc.no/atc_ddd_index/,RxNorm 20210907,44819117
CIEL,Columbia International eHealth Laboratory (Columbia University),https://wiki.openmrs.org/display/docs/Getting+and+Using+the+MVP-CIEL+Concept+Dictionary,Openmrs 1.11.0 20150227,45905710
Drug Type,OMOP Drug Exposure Type,OMOP generated,,44819126
ICD10GM,"International Classification of Diseases, Tenth Revision, German Edition",https://www.dimdi.de/dynamic/.downloads/klassifikationen/icd-10-gm,ICD10GM 2022,32928
RxNorm Extension,RxNorm Extension (OHDSI),OMOP generated,RxNorm Extension 2022-08-13,252
None,OMOP Standardized Vocabularies,OMOP generated,v5.0 09-SEP-22,44819096
VANDF,Veterans Health Administration National Drug File,http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,RxNorm 20211004,44819120
UB04 Pt dis status,UB04 Patient Discharge Status Code (CMS),https://www.resdac.org/cms-data/variables/patient-discharge-status-code,,32047
Ethnicity,OMOP Ethnicity,OMOP generated,,44819134
Condition Type,OMOP Condition Occurrence Type,OMOP generated,,44819127
Episode,OMOP Episode,OMOP generated,Episode 20201014,32523
JAX,The Clinical Knowledgebase (The Jackson Laboratory),https://ckbhome.jax.org/,JAX v20200824,32916
UB04 Typ bill,UB04 Type of Bill - Institutional (USHIK),https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000,,32044
