database_id,cohort_definition_id,inclusion_rule_mask,person_count,mode_id
-274552186,144,7,8,1
-274552186,144,1,6,1
-274552186,144,3,4,1
-274552186,144,15,12207,1
-274552186,144,13,1961,0
-274552186,144,11,2795,0
-274552186,135,4,47,1
-274552186,135,2,1,1
-274552186,135,0,286,1
-274552186,135,5,7690,1
-274552186,135,12,95,1
-274552186,135,8,60,1
-274552186,135,1,95215,0
-274552186,135,7,750,0
-274552186,135,15,62073,1
-274552186,135,10,4,1
-274552186,135,13,19557,0
-274552186,135,11,13004,0
-274552186,135,3,1711,1
-274552186,135,6,1,1
-274552186,144,14,1,0
-274552186,15997,1,2003893,1
-274552186,475,0,6300,0
-274552186,15997,0,6300,1
-274552186,475,1,2003893,0
-274552186,15997,0,6300,0
-274552186,475,1,2003893,1
-274552186,475,0,6300,1
-274552186,15997,1,2003893,0
-274552186,135,14,20,0
-274552186,135,9,14626,0
-274552186,135,4,47,0
-274552186,135,2,1,0
-274552186,135,7,750,1
-274552186,135,1,95215,1
-274552186,144,9,1174,0
-274552186,135,10,4,0
-274552186,135,3,1711,0
-274552186,135,15,62073,0
-274552186,135,6,1,0
-274552186,135,9,14626,1
-274552186,135,14,20,1
-274552186,144,15,12207,0
-274552186,144,3,4,0
-274552186,144,8,2,1
-274552186,144,12,3,1
-274552186,144,5,2,1
-274552186,135,0,286,0
-274552186,135,5,7690,0
-274552186,135,12,95,0
-274552186,135,8,60,0
-274552186,144,5,2,0
-274552186,144,12,3,0
-274552186,144,8,2,0
-274552186,144,14,1,1
-274552186,144,9,1174,1
-274552186,144,11,2795,1
-274552186,135,11,13004,1
-274552186,135,13,19557,1
-274552186,144,7,8,0
-274552186,144,1,6,0
-274552186,144,13,1961,1
