database_id,cohort_id,mode_id,inclusion_rule_mask,person_count
-520511347,144,0,2,10
-520511347,144,0,4,40
-520511347,135,0,4,86
-520511347,135,0,2,14
-520511347,135,1,13,11569
-520511347,135,1,11,10051
-520511347,144,0,3,1172
-520511347,144,0,10,36
-520511347,144,0,6,5
-520511347,144,0,15,12303
-520511347,144,1,5,4200
-520511347,144,1,0,609
-520511347,144,1,12,51
-520511347,144,1,8,86
-520511347,144,1,7,697
-520511347,144,1,1,57496
-520511347,144,1,13,3347
-520511347,144,1,11,3531
-520511347,135,1,15,39650
-520511347,135,1,6,8
-520511347,135,1,10,73
-520511347,135,1,3,1527
-520511347,144,0,5,4200
-520511347,144,0,8,86
-520511347,144,0,12,51
-520511347,135,0,7,881
-520511347,135,0,1,91586
-520511347,135,0,15,39650
-520511347,135,0,3,1527
-520511347,135,0,10,73
-520511347,135,0,6,8
-520511347,144,0,0,609
-520511347,144,1,4,40
-520511347,144,1,2,10
-520511347,135,0,0,1071
-520511347,135,0,5,6922
-520511347,135,0,8,204
-520511347,135,0,12,189
-520511347,135,1,4,86
-520511347,135,1,2,14
-520511347,144,0,1,57496
-520511347,144,0,7,697
-520511347,135,0,9,7618
-520511347,135,0,14,271
-520511347,135,1,5,6922
-520511347,135,1,0,1071
-520511347,135,1,12,189
-520511347,135,1,8,204
-520511347,135,0,13,11569
-520511347,135,0,11,10051
-520511347,135,1,7,881
-520511347,135,1,1,91586
-520511347,144,0,13,3347
-520511347,144,0,11,3531
-520511347,144,1,14,89
-520511347,144,1,9,2415
-520511347,144,1,3,1172
-520511347,144,1,15,12303
-520511347,144,1,10,36
-520511347,144,1,6,5
-520511347,144,0,14,89
-520511347,135,1,9,7618
-520511347,135,1,14,271
-520511347,144,0,9,2415
