database_id,cohort_id,rule_sequence,mode_id,person_count,gain_count,person_total
-520511347,135,2,0,59576,10051,171720
-520511347,135,1,0,52475,11569,171720
-520511347,144,2,1,20732,3531,86087
-520511347,144,1,1,17843,3347,86087
-520511347,144,3,1,21858,697,86087
-520511347,144,3,0,21858,697,86087
-520511347,144,2,0,20732,3531,86087
-520511347,144,1,0,17843,3347,86087
-520511347,144,0,1,85161,89,86087
-520511347,135,0,1,169804,271,171720
-520511347,135,2,1,59576,10051,171720
-520511347,135,1,1,52475,11569,171720
-520511347,135,0,0,169804,271,171720
-520511347,144,0,0,85161,89,86087
-520511347,135,3,0,69625,881,171720
-520511347,135,3,1,69625,881,171720
