database_id,cohort_id,comparator_cohort_id,start_day,end_day,subjects,sub_cs_before_ts,rec_cs_before_ts,sub_cs_on_ts,rec_cs_on_ts,sub_cs_after_ts,rec_cs_after_ts,sub_cs_before_te,rec_cs_before_te,sub_cs_on_te,rec_cs_on_te,sub_cs_after_te,rec_cs_after_te,sub_cs_window_t,rec_cs_window_t,sub_ce_window_t,rec_ce_window_t,sub_cs_window_ts,rec_cs_window_ts,sub_cs_window_te,rec_cs_window_te,sub_ce_window_ts,rec_ce_window_ts,sub_ce_window_te,rec_ce_window_te,sub_c_within_t,rec_c_within_t,c_days_before_ts,c_days_before_te,c_days_within_t_days,c_days_after_ts,c_days_after_te,t_days,c_days
-520511347,135,144,-9999,0,12303,0,0,0,0,12303,12303,0,0,0,0,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,387,387,12303,12303,12303,12303,12303,12303,4589333,4589333,4589333,127607030,4589333
-520511347,135,144,-9999,9999,12303,0,0,0,0,12303,12303,0,0,0,0,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,4589333,4589333,4589333,250624727,4589333
-520511347,135,144,-365,-31,7091,0,0,0,0,7091,7091,3985,3985,8,8,3098,3098,7091,7091,0,0,0,0,3106,3106,0,0,0,0,0,0,7091,2600523,4338312,4558133,1964701,6926527,4558133
-520511347,135,144,-365,0,12303,0,0,0,0,12303,12303,3985,3985,8,8,8310,8310,12303,12303,12303,12303,12303,12303,8318,8318,387,387,12303,12303,12303,12303,12303,2605735,4589333,4589333,1995901,9079928,4589333
-520511347,135,144,-180,0,12303,0,0,0,0,12303,12303,5159,5159,-5,-5,7141,7141,12303,12303,12303,12303,12303,12303,7144,7144,387,387,12303,12303,12303,12303,12303,3448123,4589333,4589333,1153513,6803873,4589333
-520511347,135,144,-30,-1,11916,0,0,0,0,11916,11916,7091,7091,25,25,4800,4800,11916,11916,0,0,0,0,4825,4825,0,0,0,0,0,0,11916,4350228,4577030,4588946,250634,4934510,4588946
-520511347,135,144,-30,0,12303,0,0,0,0,12303,12303,7091,7091,25,25,5187,5187,12303,12303,12303,12303,12303,12303,5212,5212,387,387,12303,12303,12303,12303,12303,4350615,4589333,4589333,251021,4958423,4589333
-520511347,135,144,0,0,12303,0,0,12303,12303,0,0,11916,11916,387,387,0,0,12303,12303,12303,12303,12303,12303,387,387,387,387,12303,12303,12303,12303,12303,4589333,4589333,4589333,12303,4589333,4589333
-520511347,135,144,1,30,11916,11916,11916,0,0,0,0,11916,11916,0,0,0,0,0,0,11916,11916,0,0,0,0,4825,4825,0,0,0,0,23832,4588946,4577030,4577030,11916,4934510,4588946
-520511347,135,144,31,365,7091,7091,7091,0,0,0,0,7091,7091,0,0,0,0,0,0,7091,7091,0,0,0,0,3106,3106,0,0,0,0,226912,4558133,4338312,4338312,7091,6926527,4558133
-520511347,144,135,-9999,0,12303,0,0,0,0,12303,12303,0,0,0,0,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,387,387,12303,12303,12303,12303,12303,12303,4589333,4589333,4589333,127607030,4589333
-520511347,144,135,-9999,9999,12303,0,0,0,0,12303,12303,0,0,0,0,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,4589333,4589333,4589333,250624727,4589333
-520511347,144,135,-365,-31,7091,0,0,0,0,7091,7091,3985,3985,8,8,3098,3098,7091,7091,0,0,0,0,3106,3106,0,0,0,0,0,0,7091,2600523,4338312,4558133,1964701,6926527,4558133
-520511347,144,135,-365,0,12303,0,0,0,0,12303,12303,3985,3985,8,8,8310,8310,12303,12303,12303,12303,12303,12303,8318,8318,387,387,12303,12303,12303,12303,12303,2605735,4589333,4589333,1995901,9079928,4589333
-520511347,144,135,-180,0,12303,0,0,0,0,12303,12303,5159,5159,-5,-5,7141,7141,12303,12303,12303,12303,12303,12303,7144,7144,387,387,12303,12303,12303,12303,12303,3448123,4589333,4589333,1153513,6803873,4589333
-520511347,144,135,-30,-1,11916,0,0,0,0,11916,11916,7091,7091,25,25,4800,4800,11916,11916,0,0,0,0,4825,4825,0,0,0,0,0,0,11916,4350228,4577030,4588946,250634,4934510,4588946
-520511347,144,135,-30,0,12303,0,0,0,0,12303,12303,7091,7091,25,25,5187,5187,12303,12303,12303,12303,12303,12303,5212,5212,387,387,12303,12303,12303,12303,12303,4350615,4589333,4589333,251021,4958423,4589333
-520511347,144,135,0,0,12303,0,0,12303,12303,0,0,11916,11916,387,387,0,0,12303,12303,12303,12303,12303,12303,387,387,387,387,12303,12303,12303,12303,12303,4589333,4589333,4589333,12303,4589333,4589333
-520511347,144,135,1,30,11916,11916,11916,0,0,0,0,11916,11916,0,0,0,0,0,0,11916,11916,0,0,0,0,4825,4825,0,0,0,0,23832,4588946,4577030,4577030,11916,4934510,4588946
-520511347,144,135,31,365,7091,7091,7091,0,0,0,0,7091,7091,0,0,0,0,0,0,7091,7091,0,0,0,0,3106,3106,0,0,0,0,226912,4558133,4338312,4338312,7091,6926527,4558133
