concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
3655774,3655773,Is a,2020-07-31,2099-12-31,
4098215,2787377,Subsumes,1970-01-01,2099-12-31,
4098215,2787581,Subsumes,1970-01-01,2099-12-31,
4098215,2787595,Subsumes,1970-01-01,2099-12-31,
4098215,2788609,Subsumes,1970-01-01,2099-12-31,
4098215,2788611,Subsumes,1970-01-01,2099-12-31,
4098215,2788629,Subsumes,1970-01-01,2099-12-31,
4098215,2786413,Subsumes,1970-01-01,2099-12-31,
4098215,2786045,Subsumes,1970-01-01,2099-12-31,
45763528,45768093,Is a,2015-01-31,2099-12-31,
45772472,45770937,Is a,2015-01-31,2099-12-31,
4184832,2725922,Subsumes,1970-01-01,2099-12-31,
4184832,2725929,Subsumes,1970-01-01,2099-12-31,
4184832,2725930,Subsumes,1970-01-01,2099-12-31,
4184832,2725901,Subsumes,1970-01-01,2099-12-31,
4184832,2725909,Subsumes,1970-01-01,2099-12-31,
2786049,37311810,Is a,1970-01-01,2099-12-31,
2786056,37311810,Is a,1970-01-01,2099-12-31,
4184832,42894477,Subsumes,1970-01-01,2099-12-31,
4184832,42894667,Subsumes,1970-01-01,2099-12-31,
4184832,42894671,Subsumes,1970-01-01,2099-12-31,
4184832,42894707,Subsumes,1970-01-01,2099-12-31,
4184832,42894595,Subsumes,1970-01-01,2099-12-31,
4184832,42894602,Subsumes,1970-01-01,2099-12-31,
4184832,2725464,Subsumes,1970-01-01,2099-12-31,
4184832,2725465,Subsumes,1970-01-01,2099-12-31,
4184832,42894646,Subsumes,1970-01-01,2099-12-31,
581384,9201,Is a,1970-01-01,2099-12-31,
4031850,2001502,Mapped from,2018-06-25,2099-12-31,
4184832,2725919,Subsumes,1970-01-01,2099-12-31,
4184832,2725941,Subsumes,1970-01-01,2099-12-31,
4184832,42894616,Subsumes,1970-01-01,2099-12-31,
4184832,42894617,Subsumes,1970-01-01,2099-12-31,
4184832,42894620,Subsumes,1970-01-01,2099-12-31,
4184832,42894665,Subsumes,1970-01-01,2099-12-31,
4184832,42894676,Subsumes,1970-01-01,2099-12-31,
4184832,42894679,Subsumes,1970-01-01,2099-12-31,
4184832,42894682,Subsumes,1970-01-01,2099-12-31,
4184832,42894684,Subsumes,1970-01-01,2099-12-31,
4184832,42894718,Subsumes,1970-01-01,2099-12-31,
4189164,4060628,Is a,2011-07-31,2099-12-31,
4216356,4328103,Is a,2011-07-31,2099-12-31,
4225903,2313804,SNOMED cat - CPT4,1980-01-01,2099-12-31,
4334807,2785849,Subsumes,1970-01-01,2099-12-31,
4334807,37206167,Subsumes,2019-07-31,2099-12-31,
35614232,35614202,Is a,2018-07-31,2099-12-31,
35614255,35614226,Is a,2018-07-31,2099-12-31,
35614256,35614227,Is a,2018-07-31,2099-12-31,
45759254,45768093,Is a,2015-01-31,2099-12-31,
45760132,45770937,Is a,2015-01-31,2099-12-31,
45761737,45768093,Is a,2015-01-31,2099-12-31,
45763962,45767945,Is a,2020-07-31,2099-12-31,
3661547,43020460,Is a,2020-07-31,2099-12-31,
2786060,37311810,Is a,1970-01-01,2099-12-31,
4019824,40479237,Subsumes,2011-07-31,2099-12-31,
4019824,43021423,Subsumes,2013-01-31,2099-12-31,
35614239,35614209,Is a,2018-07-31,2099-12-31,
35614250,35614221,Is a,2018-07-31,2099-12-31,
44811692,4216130,Is a,2022-01-28,2099-12-31,
42894614,4184832,Is a,1970-01-01,2099-12-31,
42894655,4184832,Is a,1970-01-01,2099-12-31,
42894656,4184832,Is a,1970-01-01,2099-12-31,
42894657,4184832,Is a,1970-01-01,2099-12-31,
42894680,4184832,Is a,1970-01-01,2099-12-31,
42894681,4184832,Is a,1970-01-01,2099-12-31,
42894709,4184832,Is a,1970-01-01,2099-12-31,
42894710,4184832,Is a,1970-01-01,2099-12-31,
42894711,4184832,Is a,1970-01-01,2099-12-31,
42894712,4184832,Is a,1970-01-01,2099-12-31,
42894714,4184832,Is a,1970-01-01,2099-12-31,
42894717,4184832,Is a,1970-01-01,2099-12-31,
43531439,43533247,Subsumes,2018-11-27,2099-12-31,
44822689,40483126,Maps to,2013-11-27,2099-12-31,
2725905,4184832,Is a,1970-01-01,2099-12-31,
2725935,4184832,Is a,1970-01-01,2099-12-31,
2725952,4184832,Is a,1970-01-01,2099-12-31,
2725968,4184832,Is a,1970-01-01,2099-12-31,
2725475,4184832,Is a,1970-01-01,2099-12-31,
2725903,4184832,Is a,1970-01-01,2099-12-31,
42894479,4184832,Is a,1970-01-01,2099-12-31,
42894668,4184832,Is a,1970-01-01,2099-12-31,
42894670,4184832,Is a,1970-01-01,2099-12-31,
42894672,4184832,Is a,1970-01-01,2099-12-31,
42894693,4184832,Is a,1970-01-01,2099-12-31,
42894589,4184832,Is a,1970-01-01,2099-12-31,
42894596,4184832,Is a,1970-01-01,2099-12-31,
42894625,4184832,Is a,1970-01-01,2099-12-31,
42894626,4184832,Is a,1970-01-01,2099-12-31,
42894643,4184832,Is a,1970-01-01,2099-12-31,
42894644,4184832,Is a,1970-01-01,2099-12-31,
42894645,4184832,Is a,1970-01-01,2099-12-31,
42894647,4184832,Is a,1970-01-01,2099-12-31,
42894648,4184832,Is a,1970-01-01,2099-12-31,
2616264,43021737,Is a,2018-11-27,2099-12-31,
2725478,4184832,Is a,1970-01-01,2099-12-31,
