cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
39650,242960721.752227,,,,0.16319510295345327,135,-520511347
10620,146541656.328545,Female,,,0.07247086095567298,135,-520511347
28992,95974339.767282,Male,,,0.3020807443979258,135,-520511347
38,444725.6564,No matching concept,,,0.08544593605776057,135,-520511347
0,21820403.06913,,0-9,,0,135,-520511347
-5,20779947.466119,,10-19,,-2.4061658520322686e-4,135,-520511347
79,25578318.047915,,20-29,,0.0030885533541342306,135,-520511347
936,28034010.21766,,30-39,,0.03338801665308546,135,-520511347
4250,32323570.995212,,40-49,,0.13148299736528307,135,-520511347
10062,40294872.985627,,50-59,,0.24970918765742406,135,-520511347
12559,39502670.529772,,60-69,,0.31792787251015475,135,-520511347
9271,31345700,,70-79,,0.29576624544993413,135,-520511347
2492,3281228.440792,,80-89,,0.759471656718451,135,-520511347
0,10206529.42642,Female,0-9,,0,135,-520511347
0,11185349.013005,Female,10-19,,0,135,-520511347
21,17332891.813827,Female,20-29,,0.0012115693229705403,135,-520511347
214,18963007.592060998,Female,30-39,,0.011285129690587302,135,-520511347
869,20936107.211499,Female,40-49,,0.041507238725005585,135,-520511347
2068,24631063.27447,Female,50-59,,0.08395902267619416,135,-520511347
3089,23224939.649555,Female,60-69,,0.13300357489020156,135,-520511347
3271,18154584.123205,Female,70-79,,0.18017487912703228,135,-520511347
1088,1907184.224503,Female,80-89,,0.570474517365267,135,-520511347
0,11570395.800136,Male,0-9,,0,135,-520511347
-5,9555529.919233,Male,10-19,,-5.232572177850853e-4,135,-520511347
58,8199306.976046001,Male,20-29,,0.007073768572081159,135,-520511347
721,9024158.173853,Male,30-39,,0.07989664920646644,135,-520511347
3377,11332639.318276,Male,40-49,,0.2979888360652188,135,-520511347
7983,15592864.06297,Male,50-59,,0.5119649583143653,135,-520511347
9456,16211360.468171,Male,60-69,,0.5832946604676199,135,-520511347
5992,13117238.231348,Male,70-79,,0.4568034745057938,135,-520511347
1404,1370846.817249,Male,80-89,,1.0241844546989805,135,-520511347
0,43477.842574,No matching concept,0-9,,0,135,-520511347
0,39068.533881,No matching concept,10-19,,0,135,-520511347
0,46119.258042,No matching concept,20-29,,0,135,-520511347
-5,46844.451746,No matching concept,30-39,,-0.1067362262474754,135,-520511347
-5,54824.465437,No matching concept,40-49,,-0.09120015963941518,135,-520511347
11,70945.648187,No matching concept,50-59,,0.1550482697826084,135,-520511347
14,66370.412046,No matching concept,60-69,,0.2109373675471064,135,-520511347
8,73877.645447,No matching concept,70-79,,0.10828715441045314,135,-520511347
0,3197.3990400000002,No matching concept,80-89,,0,135,-520511347
0,2518516.862422,,,2007,0,135,-520511347
0,5458151.581108,,,2008,0,135,-520511347
0,9606097.338808,,,2009,0,135,-520511347
0,13591033.533197,,,2010,0,135,-520511347
0,16534751.353867,,,2011,0,135,-520511347
0,18149384.637920998,,,2012,0,135,-520511347
0,19379834.885694,,,2013,0,135,-520511347
0,19489488.61328,,,2014,0,135,-520511347
0,18539990.294319,,,2015,0,135,-520511347
3877,18958733.681041,,,2016,0.20449678049315365,135,-520511347
4820,19701701.045859,,,2017,0.24464892593693532,135,-520511347
5174,19403238.787133,,,2018,0.26665651321216893,135,-520511347
5196,18669203.329227,,,2019,0.27831932131059717,135,-520511347
5814,17141865.524983,,,2020,0.33916961905496956,135,-520511347
6034,14187029.653662,,,2021,0.42531806497228863,135,-520511347
6177,9853459.827517001,,,2022,0.6268864041795722,135,-520511347
2558,1778240.802189,,,2023,1.4385003408149912,135,-520511347
0,241033.462012,,0-9,2007,0,135,-520511347
0,582531.696098,,0-9,2008,0,135,-520511347
0,1052041.853525,,0-9,2009,0,135,-520511347
0,1493464.884326,,0-9,2010,0,135,-520511347
0,1822602.160164,,0-9,2011,0,135,-520511347
0,1926539.901437,,0-9,2012,0,135,-520511347
0,1945437.6071189998,,0-9,2013,0,135,-520511347
0,1835041.393566,,0-9,2014,0,135,-520511347
0,1625290.357289,,0-9,2015,0,135,-520511347
0,1582755.085558,,0-9,2016,0,135,-520511347
0,1554019.827515,,0-9,2017,0,135,-520511347
0,1479580.952773,,0-9,2018,0,135,-520511347
0,1389024.386037,,0-9,2019,0,135,-520511347
0,1219075.4141,,0-9,2020,0,135,-520511347
0,1085156.481862,,0-9,2021,0,135,-520511347
0,836081.9575629999,,0-9,2022,0,135,-520511347
0,150725.648186,,0-9,2023,0,135,-520511347
0,192277.15811000002,,10-19,2007,0,135,-520511347
0,457129.062286,,10-19,2008,0,135,-520511347
0,828792.939083,,10-19,2009,0,135,-520511347
0,1208369.475701,,10-19,2010,0,135,-520511347
0,1508342.047912,,10-19,2011,0,135,-520511347
0,1663748.468173,,10-19,2012,0,135,-520511347
0,1746674.507871,,10-19,2013,0,135,-520511347
0,1725724.7748119999,,10-19,2014,0,135,-520511347
0,1624038.5051340002,,10-19,2015,0,135,-520511347
0,1643445.552361,,10-19,2016,0,135,-520511347
0,1670679.381246,,10-19,2017,0,135,-520511347
0,1633250.954142,,10-19,2018,0,135,-520511347
0,1544852.9062279998,,10-19,2019,0,135,-520511347
0,1357797.776865,,10-19,2020,0,135,-520511347
-5,1119349.437372,,10-19,2021,-0.004466880344121101,135,-520511347
0,737969.979467,,10-19,2022,0,135,-520511347
0,117504.539356,,10-19,2023,0,135,-520511347
0,233561.971253,,20-29,2007,0,135,-520511347
0,540357.883642,,20-29,2008,0,135,-520511347
0,999656.5092399999,,20-29,2009,0,135,-520511347
