database_id,cohort_id,concept_set_id,concept_id,source_concept_id,concept_subjects,concept_count
-520511347,135,44,4296653,35207684,78398,275604
-520511347,135,44,4296653,45557536,12335,25310
-520511347,135,44,4296653,45572080,4229,11377
-520511347,135,44,4296653,45576865,41207,75144
-520511347,135,44,4296653,45605779,59096,106249
-520511347,135,44,43020460,45572079,19687,58659
-520511347,135,44,46270162,45562340,1297,4751
-520511347,135,44,46270163,45533436,16291,42497
-520511347,135,45,4270024,35207685,485115,1177408
-520511347,135,45,36712982,45586574,227,378
-520511347,135,45,36712982,45601024,276128,542159
-520511347,135,46,2001500,2001500,18,21
-520511347,135,46,2001504,2001504,-5,-5
-520511347,135,46,2107213,2107213,18,26
-520511347,135,46,2313801,2313801,118364,136932
-520511347,135,46,2313802,2313802,14183,14997
-520511347,135,46,2313803,2313803,28100,30481
-520511347,135,46,2313804,2313804,5218,5441
-520511347,135,46,2313810,2313810,2080,2168
-520511347,135,46,2313811,2313811,220,228
-520511347,135,46,2617369,2617369,127335,148822
-520511347,135,46,2617370,2617370,17999,18794
-520511347,135,46,2725464,2725464,-5,-5
-520511347,135,46,2725468,2725468,-5,-5
-520511347,135,46,2725469,2725469,46,48
-520511347,135,46,2725470,2725470,419,422
-520511347,135,46,2725471,2725471,-5,-5
-520511347,135,46,2725472,2725472,39,39
-520511347,135,46,2725475,2725475,10,10
-520511347,135,46,2725476,2725476,131,135
-520511347,135,46,2725478,2725478,5,5
-520511347,135,46,2725480,2725480,-5,-5
-520511347,135,46,2725484,2725484,-5,-5
-520511347,135,46,2725896,2725896,-5,-5
-520511347,135,46,2725897,2725897,133,136
-520511347,135,46,2725898,2725898,-5,-5
-520511347,135,46,2725899,2725899,22,22
-520511347,135,46,2725902,2725902,-5,-5
-520511347,135,46,2725903,2725903,77,80
-520511347,135,46,2725904,2725904,4529,4620
-520511347,135,46,2725905,2725905,174303,187776
-520511347,135,46,2725906,2725906,303,309
-520511347,135,46,2725907,2725907,12302,12649
-520511347,135,46,2725909,2725909,46,46
-520511347,135,46,2725910,2725910,1327,1357
-520511347,135,46,2725911,2725911,32572,34466
-520511347,135,46,2725912,2725912,7,7
-520511347,135,46,2725913,2725913,428,438
-520511347,135,46,2725914,2725914,-5,-5
-520511347,135,46,2725915,2725915,62,64
-520511347,135,46,2725918,2725918,-5,-5
-520511347,135,46,2725919,2725919,83,84
-520511347,135,46,2725920,2725920,-5,-5
-520511347,135,46,2725921,2725921,13,13
-520511347,135,46,2725923,2725923,-5,-5
-520511347,135,46,2725927,2725927,7,7
-520511347,135,46,2725928,2725928,646,658
-520511347,135,46,2725929,2725929,8260,8501
-520511347,135,46,2725930,2725930,43,43
-520511347,135,46,2725931,2725931,829,841
-520511347,135,46,2725933,2725933,6,6
-520511347,135,46,2725934,2725934,318,325
-520511347,135,46,2725935,2725935,3318,3437
-520511347,135,46,2725936,2725936,-5,-5
-520511347,135,46,2725937,2725937,56,56
-520511347,135,46,2725938,2725938,-5,-5
-520511347,135,46,2725939,2725939,11,12
-520511347,135,46,2725942,2725942,-5,-5
-520511347,135,46,2725943,2725943,9,9
-520511347,135,46,2725945,2725945,-5,-5
-520511347,135,46,2725947,2725947,-5,-5
-520511347,135,46,2725951,2725951,-5,-5
-520511347,135,46,2725952,2725952,114,116
-520511347,135,46,2725953,2725953,1489,1513
-520511347,135,46,2725954,2725954,7,7
-520511347,135,46,2725955,2725955,131,134
-520511347,135,46,2725958,2725958,39,39
-520511347,135,46,2725959,2725959,465,480
-520511347,135,46,2725961,2725961,9,9
-520511347,135,46,2725967,2725967,-5,-5
-520511347,135,46,2725969,2725969,5,5
-520511347,135,46,2787194,2787194,1567,1618
-520511347,135,46,2787195,2787195,2297,2500
-520511347,135,46,2787196,2787196,12773,13368
-520511347,135,46,2787197,2787197,1768,1828
-520511347,135,46,4006788,2000064,422538,520569
-520511347,135,46,4031850,2001502,217,225
-520511347,135,46,4283892,2001505,107352,117853
-520511347,135,46,40756929,40756929,6,7
-520511347,135,46,42894467,42894467,-5,-5
