database_id,start_time,variable_field,value_field
-520511347,TM_2024-02-07 14:30:55,timeZone,Etc/UTC
-520511347,TM_2024-02-07 14:30:55,runTime,19.2362567663193
-520511347,TM_2024-02-07 14:30:55,runTimeUnits,mins
-520511347,TM_2024-02-07 14:30:55,packageDependencySnapShotJson,{}
-520511347,TM_2024-02-07 14:30:55,argumentsAtDiagnosticsInitiationJson,"{
	""runInclusionStatistics"" : true,
	""runIncludedSourceConcepts"" : true,
	""runOrphanConcepts"" : true,
	""runTimeSeries"" : false,
	""runVisitContext"" : true,
	""runBreakdownIndexEvents"" : true,
	""runIncidenceRate"" : true,
	""runTemporalCohortCharacterization"" : true,
	""minCellCount"" : 5,
	""minCharacterizationMean"" : 0.010000000000000000208167,
	""incremental"" : false,
	""temporalCovariateSettings"" : [
		""getDefaultCovariateSettings""
	]
}"
-520511347,TM_2024-02-07 14:30:55,rversion,R version 4.2.1 (2022-06-23)
-520511347,TM_2024-02-07 14:30:55,currentPackage,CohortDiagnostics
-520511347,TM_2024-02-07 14:30:55,currentPackageVersion,3.2.5
-520511347,TM_2024-02-07 14:30:55,sourceDescription,NotAv
-520511347,TM_2024-02-07 14:30:55,cdmSourceName,FULL_202306_SOURCE_DATA
-520511347,TM_2024-02-07 14:30:55,sourceReleaseDate,2023-06-30
-520511347,TM_2024-02-07 14:30:55,cdmVersion,v5.3.1
-520511347,TM_2024-02-07 14:30:55,cdmReleaseDate,2023-07-30
-520511347,TM_2024-02-07 14:30:55,vocabularyVersion,v5.0 31-MAY-23
-520511347,TM_2024-02-07 14:30:55,datasourceName,FULL_202306_SOURCE_DATA
-520511347,TM_2024-02-07 14:30:55,datasourceDescription,NotAv
-520511347,TM_2024-02-07 14:30:55,vocabularyVersionCdm,v5.0 31-MAY-23
-520511347,TM_2024-02-07 14:30:55,observationPeriodMinDate,2007-01-01
-520511347,TM_2024-02-07 14:30:55,observationPeriodMaxDate,2023-06-30
-520511347,TM_2024-02-07 14:30:55,personsInDatasource,115803842
-520511347,TM_2024-02-07 14:30:55,recordsInDatasource,115803842
-520511347,TM_2024-02-07 14:30:55,personDaysInDatasource,88756393630
