cohort_id,concept_set_id,concept_id,database_id
135,46,44511272,-520511347
144,46,44511272,-520511347
135,46,42894667,-520511347
144,46,42894667,-520511347
135,46,2725921,-520511347
144,46,2725921,-520511347
135,46,2725950,-520511347
144,46,2725950,-520511347
135,46,42894627,-520511347
144,46,42894627,-520511347
135,46,42894665,-520511347
144,46,42894665,-520511347
135,46,42894605,-520511347
144,46,42894605,-520511347
135,47,38004281,-520511347
144,47,38004281,-520511347
135,48,40488479,-520511347
144,48,40488479,-520511347
135,48,2785850,-520511347
144,48,2785850,-520511347
135,48,2788613,-520511347
144,48,2788613,-520511347
135,48,2786425,-520511347
144,48,2786425,-520511347
135,44,3661645,-520511347
144,44,3661645,-520511347
135,46,3186322,-520511347
144,46,3186322,-520511347
135,46,35614209,-520511347
144,46,35614209,-520511347
135,46,4020653,-520511347
144,46,4020653,-520511347
135,46,42894594,-520511347
144,46,42894594,-520511347
135,46,42894709,-520511347
144,46,42894709,-520511347
135,46,2725938,-520511347
144,46,2725938,-520511347
135,48,2786045,-520511347
144,48,2786045,-520511347
135,48,2786066,-520511347
144,48,2786066,-520511347
135,48,2313874,-520511347
144,48,2313874,-520511347
135,48,4162102,-520511347
144,48,4162102,-520511347
135,46,2617370,-520511347
144,46,2617370,-520511347
135,46,45757957,-520511347
144,46,45757957,-520511347
135,46,2725484,-520511347
144,46,2725484,-520511347
135,48,2786051,-520511347
144,48,2786051,-520511347
135,48,2786065,-520511347
144,48,2786065,-520511347
135,48,2787377,-520511347
144,48,2787377,-520511347
135,48,2313913,-520511347
144,48,2313913,-520511347
135,46,35614203,-520511347
144,46,35614203,-520511347
135,46,35614236,-520511347
144,46,35614236,-520511347
135,46,35614247,-520511347
144,46,35614247,-520511347
135,46,45770795,-520511347
144,46,45770795,-520511347
135,46,45758194,-520511347
144,46,45758194,-520511347
135,46,42894689,-520511347
144,46,42894689,-520511347
135,46,42894609,-520511347
144,46,42894609,-520511347
135,48,4098215,-520511347
144,48,4098215,-520511347
135,48,2313883,-520511347
144,48,2313883,-520511347
135,48,2313869,-520511347
144,48,2313869,-520511347
135,44,45766076,-520511347
144,44,45766076,-520511347
135,44,3661504,-520511347
144,44,3661504,-520511347
135,46,3188421,-520511347
144,46,3188421,-520511347
135,46,44511268,-520511347
144,46,44511268,-520511347
135,46,2725902,-520511347
144,46,2725902,-520511347
135,46,42894711,-520511347
144,46,42894711,-520511347
135,46,2725470,-520511347
144,46,2725470,-520511347
135,46,2725478,-520511347
144,46,2725478,-520511347
135,46,42894662,-520511347
144,46,42894662,-520511347
135,47,8913,-520511347
144,47,8913,-520511347
135,47,581379,-520511347
144,47,581379,-520511347
135,47,38004283,-520511347
144,47,38004283,-520511347
135,48,4138036,-520511347
144,48,4138036,-520511347
135,48,2785851,-520511347
144,48,2785851,-520511347
135,48,2786062,-520511347
144,48,2786062,-520511347
135,44,3661644,-520511347
144,44,3661644,-520511347
135,46,2725918,-520511347
144,46,2725918,-520511347
135,46,2725480,-520511347
144,46,2725480,-520511347
135,46,37111313,-520511347
144,46,37111313,-520511347
135,47,581384,-520511347
144,47,581384,-520511347
135,47,581383,-520511347
144,47,581383,-520511347
135,48,4335824,-520511347
144,48,4335824,-520511347
135,48,4234778,-520511347
144,48,4234778,-520511347
135,48,2786410,-520511347
144,48,2786410,-520511347
135,46,44511271,-520511347
144,46,44511271,-520511347
135,46,42894620,-520511347
144,46,42894620,-520511347
135,46,43527909,-520511347
144,46,43527909,-520511347
135,47,38004275,-520511347
144,47,38004275,-520511347
135,48,2786059,-520511347
144,48,2786059,-520511347
135,48,2788625,-520511347
144,48,2788625,-520511347
135,48,2211776,-520511347
144,48,2211776,-520511347
135,48,4199054,-520511347
144,48,4199054,-520511347
135,48,40479237,-520511347
144,48,40479237,-520511347
135,44,45766116,-520511347
144,44,45766116,-520511347
135,44,46270164,-520511347
144,44,46270164,-520511347
135,44,3661646,-520511347
144,44,3661646,-520511347
135,46,45770937,-520511347
144,46,45770937,-520511347
135,46,44511133,-520511347
144,46,44511133,-520511347
135,46,35614204,-520511347
144,46,35614204,-520511347
135,46,35614206,-520511347
144,46,35614206,-520511347
135,46,35614210,-520511347
144,46,35614210,-520511347
135,46,35614233,-520511347
144,46,35614233,-520511347
135,46,42894585,-520511347
144,46,42894585,-520511347
135,46,42894586,-520511347
144,46,42894586,-520511347
135,46,42894598,-520511347
144,46,42894598,-520511347
135,46,42894484,-520511347
144,46,42894484,-520511347
135,46,42894670,-520511347
144,46,42894670,-520511347
135,46,42894702,-520511347
144,46,42894702,-520511347
135,46,2725942,-520511347
144,46,2725942,-520511347
135,47,32037,-520511347
144,47,32037,-520511347
135,48,2616268,-520511347
144,48,2616268,-520511347
135,48,3654311,-520511347
144,48,3654311,-520511347
135,48,2313880,-520511347
144,48,2313880,-520511347
135,48,2785852,-520511347
144,48,2785852,-520511347
135,48,2786048,-520511347
144,48,2786048,-520511347
135,46,4031850,-520511347
144,46,4031850,-520511347
135,46,42894479,-520511347
144,46,42894479,-520511347
135,46,2725926,-520511347
144,46,2725926,-520511347
135,46,2725934,-520511347
144,46,2725934,-520511347
135,46,4178148,-520511347
144,46,4178148,-520511347
