cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,NA,39650,39650,15607397,15607397,39650,39650,39650,39650,39650,39650
135,-520511347,2007-01-01,2023-06-30,T1,c,MALE,NA,28992,28992,11040944,11040944,28992,28992,28992,28992,28992,28992
135,-520511347,2007-01-01,2023-06-30,T1,c,No matching concept,NA,38,38,26384,26384,38,38,38,38,38,38
135,-520511347,2007-01-01,2023-06-30,T1,c,FEMALE,NA,10620,10620,4540069,4540069,10620,10620,10620,10620,10620,10620
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,20-29,1520,1520,503572,503572,1520,1520,1520,1520,1520,1520
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,0-9,5,5,108,108,5,5,5,5,5,5
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,30-39,5578,5578,1947411,1947411,5578,5578,5578,5578,5578,5578
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,40-49,11377,11377,4441230,4441230,11377,11377,11377,11377,11377,11377
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,60-69,9113,9113,3626083,3626083,9113,9113,9113,9113,9113,9113
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,50-59,11864,11864,5039982,5039982,11864,11864,11864,11864,11864,11864
135,-520511347,2007-01-01,2023-06-30,T1,c,NULL,10-19,193,193,49011,49011,193,193,193,193,193,193
135,-520511347,2007-01-01,2023-06-30,T1,c,FEMALE,30-39,1095,1095,477139,477139,1095,1095,1095,1095,1095,1095
135,-520511347,2007-01-01,2023-06-30,T1,c,No matching concept,60-69,6,6,5588,5588,6,6,6,6,6,6
135,-520511347,2007-01-01,2023-06-30,T1,c,No matching concept,30-39,6,6,665,665,6,6,6,6,6,6
135,-520511347,2007-01-01,2023-06-30,T1,c,MALE,30-39,4477,4477,1469607,1469607,4477,4477,4477,4477,4477,4477
