database_id,cohort_definition_id,rule_sequence,person_count,gain_count,person_total,mode_id
-520511347,135,2,59576,10051,171720,0
-520511347,135,1,52475,11569,171720,0
-520511347,144,2,20732,3531,86087,1
-520511347,144,1,17843,3347,86087,1
-520511347,144,3,21858,697,86087,1
-520511347,144,3,21858,697,86087,0
-520511347,144,2,20732,3531,86087,0
-520511347,144,1,17843,3347,86087,0
-520511347,144,0,85161,89,86087,1
-520511347,135,0,169804,271,171720,1
-520511347,135,2,59576,10051,171720,1
-520511347,135,1,52475,11569,171720,1
-520511347,135,0,169804,271,171720,0
-520511347,144,0,85161,89,86087,0
-520511347,135,3,69625,881,171720,0
-520511347,135,3,69625,881,171720,1
