database_id,cohort_id,rule_sequence,mode_id,person_count,gain_count,person_total
449523062,144,3,1,6092,-5,6101
449523062,135,3,0,40456,225,83236
449523062,144,2,0,4785,751,6101
449523062,144,1,0,4561,971,6101
449523062,144,2,1,4785,751,6101
449523062,144,1,1,4561,971,6101
449523062,135,2,0,32135,3785,83236
449523062,135,1,0,23793,9418,83236
449523062,144,0,1,6073,8,6101
449523062,144,0,0,6073,8,6101
449523062,135,0,0,82805,51,83236
449523062,135,2,1,32135,3785,83236
449523062,135,1,1,23793,9418,83236
449523062,135,3,1,40456,225,83236
449523062,135,0,1,82805,51,83236
449523062,144,3,0,6092,-5,6101
