database_id,cohort_id,comparator_cohort_id,start_day,end_day,subjects,sub_cs_before_ts,rec_cs_before_ts,sub_cs_on_ts,rec_cs_on_ts,sub_cs_after_ts,rec_cs_after_ts,sub_cs_before_te,rec_cs_before_te,sub_cs_on_te,rec_cs_on_te,sub_cs_after_te,rec_cs_after_te,sub_cs_window_t,rec_cs_window_t,sub_ce_window_t,rec_ce_window_t,sub_cs_window_ts,rec_cs_window_ts,sub_cs_window_te,rec_cs_window_te,sub_ce_window_ts,rec_ce_window_ts,sub_ce_window_te,rec_ce_window_te,sub_c_within_t,rec_c_within_t,c_days_before_ts,c_days_before_te,c_days_within_t_days,c_days_after_ts,c_days_after_te,t_days,c_days
449523062,135,144,-9999,0,3794,0,0,0,0,3794,3794,0,0,0,0,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,-5,-5,3794,3794,3794,3794,3794,3794,2778283,2778283,2778283,40714489,2778283
449523062,135,144,-9999,9999,3794,0,0,0,0,3794,3794,0,0,0,0,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,2778283,2778283,2778283,78650695,2778283
449523062,135,144,-365,-31,3496,0,0,0,0,3496,3496,2224,2224,-5,-5,1270,1270,3496,3496,0,0,0,0,1272,1272,0,0,0,0,0,0,3496,1730263,2664806,2773182,1046415,3940846,2773182
449523062,135,144,-365,0,3794,0,0,0,0,3794,3794,2224,2224,-5,-5,1568,1568,3794,3794,3794,3794,3794,3794,1570,1570,-5,-5,3794,3794,3794,3794,3794,1730561,2778283,2778283,1051516,4163093,2778283
449523062,135,144,-180,0,3794,0,0,0,0,3794,3794,2841,2841,-5,-5,951,951,3794,3794,3794,3794,3794,3794,953,953,-5,-5,3794,3794,3794,3794,3794,2198537,2778283,2778283,583540,3461203,2778283
449523062,135,144,-30,-1,3791,0,0,0,0,3791,3791,3496,3496,9,9,286,286,3791,3791,0,0,0,0,295,295,0,0,0,0,0,0,3791,2668597,2774489,2778280,113474,2888219,2778280
449523062,135,144,-30,0,3794,0,0,0,0,3794,3794,3496,3496,9,9,289,289,3794,3794,3794,3794,3794,3794,298,298,-5,-5,3794,3794,3794,3794,3794,2668600,2778283,2778283,113477,2892103,2778283
449523062,135,144,0,0,3794,0,0,3794,3794,0,0,3791,3791,-5,-5,0,0,3794,3794,3794,3794,3794,3794,-5,-5,-5,-5,3794,3794,3794,3794,3794,2778283,2778283,2778283,3794,2778283,2778283
449523062,135,144,1,30,3791,3791,3791,0,0,0,0,3791,3791,0,0,0,0,0,0,3791,3791,0,0,0,0,295,295,0,0,0,0,7582,2778280,2774489,2774489,3791,2888219,2778280
449523062,135,144,31,365,3496,3496,3496,0,0,0,0,3496,3496,0,0,0,0,0,0,3496,3496,0,0,0,0,1272,1272,0,0,0,0,111872,2773182,2664806,2664806,3496,3940846,2773182
449523062,144,135,-9999,0,3794,0,0,0,0,3794,3794,0,0,0,0,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,-5,-5,3794,3794,3794,3794,3794,3794,2778283,2778283,2778283,40714489,2778283
449523062,144,135,-9999,9999,3794,0,0,0,0,3794,3794,0,0,0,0,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,3794,2778283,2778283,2778283,78650695,2778283
449523062,144,135,-365,-31,3496,0,0,0,0,3496,3496,2224,2224,-5,-5,1270,1270,3496,3496,0,0,0,0,1272,1272,0,0,0,0,0,0,3496,1730263,2664806,2773182,1046415,3940846,2773182
449523062,144,135,-365,0,3794,0,0,0,0,3794,3794,2224,2224,-5,-5,1568,1568,3794,3794,3794,3794,3794,3794,1570,1570,-5,-5,3794,3794,3794,3794,3794,1730561,2778283,2778283,1051516,4163093,2778283
449523062,144,135,-180,0,3794,0,0,0,0,3794,3794,2841,2841,-5,-5,951,951,3794,3794,3794,3794,3794,3794,953,953,-5,-5,3794,3794,3794,3794,3794,2198537,2778283,2778283,583540,3461203,2778283
449523062,144,135,-30,-1,3791,0,0,0,0,3791,3791,3496,3496,9,9,286,286,3791,3791,0,0,0,0,295,295,0,0,0,0,0,0,3791,2668597,2774489,2778280,113474,2888219,2778280
449523062,144,135,-30,0,3794,0,0,0,0,3794,3794,3496,3496,9,9,289,289,3794,3794,3794,3794,3794,3794,298,298,-5,-5,3794,3794,3794,3794,3794,2668600,2778283,2778283,113477,2892103,2778283
449523062,144,135,0,0,3794,0,0,3794,3794,0,0,3791,3791,-5,-5,0,0,3794,3794,3794,3794,3794,3794,-5,-5,-5,-5,3794,3794,3794,3794,3794,2778283,2778283,2778283,3794,2778283,2778283
449523062,144,135,1,30,3791,3791,3791,0,0,0,0,3791,3791,0,0,0,0,0,0,3791,3791,0,0,0,0,295,295,0,0,0,0,7582,2778280,2774489,2774489,3791,2888219,2778280
449523062,144,135,31,365,3496,3496,3496,0,0,0,0,3496,3496,0,0,0,0,0,0,3496,3496,0,0,0,0,1272,1272,0,0,0,0,111872,2773182,2664806,2664806,3496,3940846,2773182
