concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1389749,"3D echocardiographic imaging and postprocessing during transesophageal echocardiography, or during transthoracic echocardiography for congenital cardiac anomalies, for the assessment of cardiac structure(s) (eg, cardiac chambers and valves, left atrial...",Procedure,CPT4,CPT4,S,93319,2022-11-07,2099-12-31,
1389759,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacer...",Observation,CPT4,CPT4,S,99424,2022-11-07,2099-12-31,
1389760,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacer...",Observation,CPT4,CPT4,S,99425,2022-11-07,2099-12-31,
1389761,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacer...",Observation,CPT4,CPT4,S,99426,2022-11-07,2099-12-31,
1389762,"Principal care management services, for a single high-risk disease, with the following required elements: one complex chronic condition expected to last at least 3 months, and that places the patient at significant risk of hospitalization, acute exacer...",Observation,CPT4,CPT4,S,99427,2022-11-07,2099-12-31,
1389593,"Transcatheter intracoronary infusion of supersaturated oxygen in conjunction with percutaneous coronary revascularization during acute myocardial infarction, including catheter placement, imaging guidance (eg, fluoroscopy), angiography, and radiologic...",Procedure,CPT4,CPT4,S,0659T,2022-11-07,2099-12-31,
42739011,"History and examination of the normal newborn infant, initiation of diagnostic and treatment programs and preparation of hospital records. (This code should also be used for birthing room deliveries.) (Deprecated)",Procedure,CPT4,CPT4,S,99431,1970-01-01,2009-04-06,
42739013,"Subsequent hospital care, for the evaluation and management of a normal newborn, per day (Deprecated)",Procedure,CPT4,CPT4,S,99433,1970-01-01,2009-04-06,
42739014,"History and examination of the normal newborn infant, including the preparation of medical records. (This code should only be used for newborns assessed and discharged from the hospital or birthing room on the same date.) (Deprecated)",Observation,CPT4,CPT4,S,99435,1970-01-01,2009-04-06,
42739550,"Subsequent neonatal intensive care, per day, for the evaluation and management of a critically ill and unstable neonate or infant A critically ill and unstable neonate will require cardiac and/or respiratory support (including ventilator o... (Deprecated)",Procedure,CPT4,CPT4,S,99296,1970-01-01,2009-04-06,
42739551,"Subsequent neonatal intensive care, per day, for the evaluation and management of a critically ill though stable neonate or infant Critically ill though stable neonates require cardiac and/or respiratory support (including ventilator and n... (Deprecated)",Procedure,CPT4,CPT4,S,99297,1970-01-01,2003-03-31,
42740998,"Subsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 grams) (Deprecated)",Procedure,CPT4,CPT4,,99300,2006-02-13,2016-03-11,
2514400,Observation care discharge day management (This code is to be utilized to report all services provided to a patient on discharge from outpatient hospital  observation status  if the discharge is on other than the initial date of  observati... (Deprecated),Observation,CPT4,CPT4,S,99217,1970-01-01,2023-05-01,
42628001,Myocardial strain imaging (quantitative assessment of myocardial mechanics using image-based analysis of local myocardial dynamics) (List separately in addition to code for primary procedure) (Deprecated),Procedure,CPT4,CPT4,S,0399T,2016-05-01,2020-05-03,
42739633,"Initial neonatal intensive care, per day, for the evaluation and management of a critically ill neonate or infant This code is reserved for the date of admission for neonates who are critically ill. Critically ill neonates require cardiac ... (Deprecated)",Procedure,CPT4,CPT4,S,99295,1970-01-01,2009-04-06,
2313811,"Percutaneous transluminal coronary atherectomy, by mechanical or other method, with or without balloon angioplasty; each additional vessel (List separately in addition to code for primary procedure) (Deprecated)",Procedure,CPT4,CPT4,S,92996,1970-01-01,2013-05-08,
2313810,"Percutaneous transluminal coronary atherectomy, by mechanical or other method, with or without balloon angioplasty; single vessel (Deprecated)",Procedure,CPT4,CPT4,S,92995,1970-01-01,2013-05-08,
2313804,Percutaneous transluminal coronary balloon angioplasty; each additional vessel (List separately in addition to code for primary procedure) (Deprecated),Procedure,CPT4,CPT4,S,92984,1970-01-01,2013-05-08,
2313803,Percutaneous transluminal coronary balloon angioplasty; single vessel (Deprecated),Procedure,CPT4,CPT4,S,92982,1970-01-01,2013-05-08,
2313802,"Transcatheter placement of an intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; each additional vessel (List separately in addition to code for primary procedure) (Deprecated)",Procedure,CPT4,CPT4,S,92981,1970-01-01,2013-05-08,
2313801,"Transcatheter placement of an intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel (Deprecated)",Procedure,CPT4,CPT4,S,92980,1970-01-01,2013-05-08,
2213534,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient (Deprecated)",Procedure,CPT4,CPT4,S,90818,1970-01-01,2013-05-08,
2213536,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minutes face-to-face with the patient (Deprecated)",Procedure,CPT4,CPT4,S,90821,1970-01-01,2013-05-08,
2213537,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation... (Deprecated)",Procedure,CPT4,CPT4,S,90822,1970-01-01,2013-05-08,
