cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
19304,112251752.692677,,,,0.17197058876087679,135,449523062
5702,58493909.166322,Female,,,0.09748023480165931,135,449523062
13601,53750181.368927,Male,,,0.25304100662742585,135,449523062
-5,7662.1574279999995,No matching concept,,,-0.6525577224148885,135,449523062
0,11733643.748115,,0-9,,0,135,449523062
10,13606404.243669,,10-19,,7.349480304212596e-4,135,449523062
73,14685348.43258,,20-29,,0.0049709409575905425,135,449523062
397,15111352.758386,,30-39,,0.026271638704197815,135,449523062
1796,14856613.155374,,40-49,,0.12088892543791806,135,449523062
4648,16601632.317589,,50-59,,0.27997246963935973,135,449523062
5763,13506051.969885001,,60-69,,0.4266976028857284,135,449523062
4619,9223751.811089,,70-79,,0.5007723640663158,135,449523062
1998,2926954.25599,,80-89,,0.6826208492705689,135,449523062
0,5734416.249143,Female,0-9,,0,135,449523062
5,6697504.605065,Female,10-19,,7.465467058012533e-4,135,449523062
25,7611550.822724,Female,20-29,,0.0032844817806856703,135,449523062
99,7884587.091033,Female,30-39,,0.012556142618120223,135,449523062
371,7713649.993155,Female,40-49,,0.04809655614776674,135,449523062
986,8682241.902807,Female,50-59,,0.11356513801823728,135,449523062
1446,7175324.339493,Female,60-69,,0.201523991332519,135,449523062
1764,5212244.454484,Female,70-79,,0.33843385808247395,135,449523062
1006,1782389.708418,Female,80-89,,0.5644107993043216,135,449523062
0,5998708.835044,Male,0-9,,0,135,449523062
5,6908279.345653,Male,10-19,,7.237692267244845e-4,135,449523062
48,7071803.652294,Male,20-29,,0.006787518766083025,135,449523062
298,7224936.314854,Male,30-39,,0.0412460383058784,135,449523062
1425,7141951.4195759995,Male,40-49,,0.19952530005932173,135,449523062
3662,7918517.557835,Male,50-59,,0.4624602993241612,135,449523062
4316,6330140.558523,Male,60-69,,0.6818174035944384,135,449523062
2855,4011290.874744,Male,70-79,,0.7117409555053037,135,449523062
992,1144552.810404,Male,80-89,,0.8667140484761445,135,449523062
0,518.663928,No matching concept,0-9,,0,135,449523062
0,620.292951,No matching concept,10-19,,0,135,449523062
0,1993.957562,No matching concept,20-29,,0,135,449523062
0,1829.3524989999999,No matching concept,30-39,,0,135,449523062
0,1011.742643,No matching concept,40-49,,0,135,449523062
0,872.856947,No matching concept,50-59,,0,135,449523062
-5,587.071869,No matching concept,60-69,,-8.516844808995609,135,449523062
0,216.481861,No matching concept,70-79,,0,135,449523062
0,11.737168,No matching concept,80-89,,0,135,449523062
0,21393548.487336,,,2015,0,135,449523062
3151,22617398.25325,,,2016,0.1393175273618051,135,449523062
2747,16498809.894595,,,2017,0.1664968575036382,135,449523062
2223,11468494.543463,,,2018,0.19383538018659144,135,449523062
2479,10699832.446272,,,2019,0.23168587101228158,135,449523062
2337,9015735.663243,,,2020,0.25921345603863577,135,449523062
2473,8546619.145792,,,2021,0.28935418295989035,135,449523062
2577,8320518.0725529995,,,2022,0.30971629140507284,135,449523062
1317,3690796.186173,,,2023,0.3568335756208749,135,449523062
