database_id,cohort_id,concept_set_id,concept_id,source_concept_id,concept_subjects,concept_count
449523062,135,44,4296653,35207684,77022,278411
449523062,135,44,4296653,45557536,10094,28370
449523062,135,44,4296653,45572080,4962,17389
449523062,135,44,4296653,45576865,24470,93400
449523062,135,44,4296653,45605779,30154,122103
449523062,135,44,43020460,45572079,17420,75685
449523062,135,44,45766075,1569127,-5,-5
449523062,135,44,46270162,45562340,2860,8241
449523062,135,44,46270163,45533436,16946,65349
449523062,135,45,4270024,35207685,250190,1737920
449523062,135,45,36712982,45586574,339,813
449523062,135,45,36712982,45601024,154052,552733
449523062,135,46,1552138,1552138,618,724
449523062,135,46,2107213,2107213,199,295
449523062,135,46,2313801,2313801,-5,-5
449523062,135,46,2313803,2313803,-5,-5
449523062,135,46,2617369,2617369,-5,-5
449523062,135,46,2725468,2725468,-5,-5
449523062,135,46,2725469,2725469,16,16
449523062,135,46,2725470,2725470,141,177
449523062,135,46,2725471,2725471,-5,-5
449523062,135,46,2725472,2725472,11,20
449523062,135,46,2725475,2725475,-5,-5
449523062,135,46,2725476,2725476,26,26
449523062,135,46,2725478,2725478,-5,-5
449523062,135,46,2725897,2725897,46,60
449523062,135,46,2725899,2725899,7,8
449523062,135,46,2725902,2725902,-5,-5
449523062,135,46,2725903,2725903,20,20
449523062,135,46,2725904,2725904,1525,1636
449523062,135,46,2725905,2725905,51614,58017
449523062,135,46,2725906,2725906,68,92
449523062,135,46,2725907,2725907,3148,3790
449523062,135,46,2725909,2725909,-5,-5
449523062,135,46,2725910,2725910,425,441
449523062,135,46,2725911,2725911,9001,9730
449523062,135,46,2725912,2725912,5,5
449523062,135,46,2725913,2725913,138,162
449523062,135,46,2725915,2725915,12,16
449523062,135,46,2725918,2725918,-5,-5
449523062,135,46,2725919,2725919,29,29
449523062,135,46,2725921,2725921,5,5
449523062,135,46,2725928,2725928,257,279
449523062,135,46,2725929,2725929,2906,3617
449523062,135,46,2725930,2725930,14,14
449523062,135,46,2725931,2725931,227,281
449523062,135,46,2725933,2725933,-5,-5
449523062,135,46,2725934,2725934,101,106
449523062,135,46,2725935,2725935,915,985
449523062,135,46,2725936,2725936,-5,-5
449523062,135,46,2725937,2725937,21,22
449523062,135,46,2725939,2725939,-5,-5
449523062,135,46,2725943,2725943,-5,-5
449523062,135,46,2725945,2725945,-5,-5
449523062,135,46,2725952,2725952,38,42
449523062,135,46,2725953,2725953,614,740
449523062,135,46,2725954,2725954,-5,-5
449523062,135,46,2725955,2725955,38,46
449523062,135,46,2725958,2725958,9,9
449523062,135,46,2725959,2725959,115,122
449523062,135,46,2725961,2725961,5,5
449523062,135,46,2725967,2725967,-5,-5
449523062,135,46,2787194,2787194,351,363
449523062,135,46,2787195,2787195,420,430
449523062,135,46,2787196,2787196,1506,1545
449523062,135,46,2787197,2787197,512,525
449523062,135,46,4006788,2000064,10575,13638
449523062,135,46,4031850,2001502,8,8
449523062,135,46,4283892,2001505,1098,1166
449523062,135,46,40756929,40756929,16,20
449523062,135,46,42894467,42894467,-5,-5
449523062,135,46,42894468,42894468,7,7
449523062,135,46,42894470,42894470,-5,-5
449523062,135,46,42894479,42894479,480,496
449523062,135,46,42894480,42894480,11432,11925
449523062,135,46,42894481,42894481,138,139
449523062,135,46,42894482,42894482,2623,2712
449523062,135,46,42894483,42894483,42,44
449523062,135,46,42894484,42894484,627,643
449523062,135,46,42894598,42894598,36,39
449523062,135,46,42894599,42894599,53,55
449523062,135,46,42894600,42894600,98,103
449523062,135,46,42894601,42894601,990,1042
449523062,135,46,42894602,42894602,75,75
449523062,135,46,42894603,42894603,687,712
449523062,135,46,42894605,42894605,-5,-5
449523062,135,46,42894606,42894606,-5,-5
449523062,135,46,42894607,42894607,21,25
449523062,135,46,42894608,42894608,-5,-5
449523062,135,46,42894609,42894609,17,17
449523062,135,46,42894612,42894612,-5,-5
449523062,135,46,42894613,42894613,-5,-5
449523062,135,46,42894615,42894615,-5,-5
449523062,135,46,42894625,42894625,-5,-5
449523062,135,46,42894643,42894643,-5,-5
449523062,135,46,42894644,42894644,5,5
449523062,135,46,42894645,42894645,-5,-5
449523062,135,46,42894646,42894646,13,13
449523062,135,46,42894647,42894647,40,40
449523062,135,46,42894648,42894648,268,280
449523062,135,46,42894653,42894653,-5,-5
449523062,135,46,42894654,42894654,-5,-5
449523062,135,46,42894660,42894660,-5,-5
449523062,135,46,42894667,42894667,8,8
449523062,135,46,42894668,42894668,342,369
449523062,135,46,42894669,42894669,-5,-5
449523062,135,46,42894670,42894670,96,100
449523062,135,46,42894671,42894671,-5,-5
449523062,135,46,42894672,42894672,30,34
449523062,135,46,42894673,42894673,-5,-5
449523062,135,46,42894674,42894674,22,22
449523062,135,46,42894676,42894676,5,5
449523062,135,46,42894678,42894678,-5,-5
449523062,135,46,42894682,42894682,-5,-5
449523062,135,46,42894686,42894686,-5,-5
449523062,135,46,42894690,42894690,-5,-5
449523062,135,46,42894691,42894691,-5,-5
449523062,135,46,42894697,42894697,573,586
449523062,135,46,42894698,42894698,7282,7623
449523062,135,46,42894699,42894699,212,219
449523062,135,46,42894700,42894700,2551,2652
449523062,135,46,42894701,42894701,90,90
449523062,135,46,42894702,42894702,1159,1194
449523062,135,46,42894703,42894703,8,8
449523062,135,46,42894704,42894704,191,211
449523062,135,46,42894705,42894705,5,5
449523062,135,46,42894706,42894706,57,62
449523062,135,46,42894707,42894707,-5,-5
449523062,135,46,42894708,42894708,16,17
449523062,135,46,42894710,42894710,20,20
449523062,135,46,42894712,42894712,6,6
449523062,135,46,42894714,42894714,-5,-5
449523062,135,46,43527908,43527908,9235,10914
449523062,135,46,43527909,43527909,100,104
449523062,135,46,43527994,43527994,16295,22281
449523062,135,46,43527995,43527995,4323,4969
449523062,135,46,43527996,43527996,1353,1705
449523062,135,46,43527997,43527997,73,77
449523062,135,46,43527998,43527998,142825,198621
449523062,135,46,43527999,43527999,5827,6477
449523062,135,46,43528003,43528003,7597,9182
449523062,135,46,43533186,43533186,3232,3695
449523062,135,46,43533187,43533187,551,558
449523062,135,46,43533223,43533223,55,59
449523062,135,46,43533242,43533242,97,99
449523062,135,46,43533247,43533247,54903,64779
449523062,135,46,43533248,43533248,57,57
449523062,135,46,43533352,43533352,3450,3570
449523062,135,46,43533353,43533353,3856,4105
449523062,135,46,43533354,43533354,2829,2937
449523062,135,46,44789455,2001506,7742,8321
449523062,135,47,262,262,1741243,2813392
449523062,135,47,262,8546,1864,1906
449523062,135,47,262,8668,101371,122007
449523062,135,47,262,8716,420,446
449523062,135,47,262,8717,52154,57392
449523062,135,47,262,8756,150,151
449523062,135,47,262,8761,966,1035
449523062,135,47,262,8809,9707,10346
449523062,135,47,262,8850,895,900
449523062,135,47,262,8870,200383,238062
449523062,135,47,262,8883,2275,2285
449523062,135,47,262,8920,962,991
449523062,135,47,262,8947,29,30
449523062,135,47,262,8966,105,106
449523062,135,47,262,8977,39,39
449523062,135,47,262,9201,168,172
449523062,135,47,262,32037,186199,227381
449523062,135,47,262,581379,14254,14905
449523062,135,47,262,581380,-5,-5
449523062,135,47,262,581381,-5,-5
449523062,135,47,262,581383,22537,25292
449523062,135,47,262,581384,1611,1625
449523062,135,47,262,581385,2000,2022
449523062,135,47,262,581476,5348,5836
449523062,135,47,262,581477,211299,270732
449523062,135,47,9201,5083,636,692
449523062,135,47,9201,8546,6697,6945
449523062,135,47,9201,8668,112479,135479
449523062,135,47,9201,8716,1163,1325
449523062,135,47,9201,8717,3433841,13948402
449523062,135,47,9201,8756,116969,128739
449523062,135,47,9201,8761,3389,4276
449523062,135,47,9201,8782,26,27
449523062,135,47,9201,8809,35695,40945
449523062,135,47,9201,8850,351,354
449523062,135,47,9201,8883,281354,321467
449523062,135,47,9201,8920,7844,8506
449523062,135,47,9201,8947,20,21
449523062,135,47,9201,8966,105,111
449523062,135,47,9201,8977,123,133
449523062,135,47,9201,9201,2623782,3519974
449523062,135,47,9201,32037,112181,127487
449523062,135,47,9201,581379,8370,8630
449523062,135,47,9201,581380,250,509
449523062,135,47,9201,581383,15345,16459
449523062,135,47,9201,581384,139588,142847
449523062,135,47,9201,581385,4581,4847
449523062,135,47,9201,581476,4609,4851
449523062,135,47,9201,581477,464901,528239
449523062,135,47,9201,38003620,-5,-5
449523062,135,48,709890,709890,-5,-5
449523062,135,48,710016,710016,94437,137374
449523062,135,48,759555,759555,-5,-5
449523062,135,48,1389749,1389749,2422,2932
449523062,135,48,2211762,2211762,10888,19293
449523062,135,48,2211763,2211763,68469,102446
449523062,135,48,2211764,2211764,11900,30316
449523062,135,48,2313799,2313799,46080,65237
449523062,135,48,2313800,2313800,7633,9636
449523062,135,48,2313867,2313867,137138,266399
449523062,135,48,2313868,2313868,26806,60907
449523062,135,48,2313869,2313869,3669630,7847112
449523062,135,48,2313870,2313870,28826,36177
449523062,135,48,2313871,2313871,284461,462830
449523062,135,48,2313872,2313872,207798,352389
449523062,135,48,2313873,2313873,19834,20803
449523062,135,48,2313874,2313874,14806,15862
449523062,135,48,2313875,2313875,5112,6077
449523062,135,48,2313876,2313876,1047,1149
449523062,135,48,2313877,2313877,2434,2837
449523062,135,48,2313878,2313878,3613,3788
449523062,135,48,2313879,2313879,483586,762014
449523062,135,48,2313880,2313880,216147,360141
449523062,135,48,2313882,2313882,174883,253534
449523062,135,48,2313883,2313883,372303,488459
449523062,135,48,2313884,2313884,38372,40770
449523062,135,48,2313913,2313913,53593,78829
449523062,135,48,2313914,2313914,9633,13322
449523062,135,48,2313942,2313942,48672,78678
449523062,135,48,2616263,2616263,307,364
449523062,135,48,2616264,2616264,38,42
449523062,135,48,2616265,2616265,3118,3316
449523062,135,48,2616266,2616266,9347,10356
449523062,135,48,2616267,2616267,3116,3474
449523062,135,48,2616268,2616268,47,47
449523062,135,48,2616269,2616269,73,75
449523062,135,48,2616270,2616270,22282,23096
449523062,135,48,2616271,2616271,133033,160371
449523062,135,48,2616272,2616272,29093,30334
449523062,135,48,2722250,2722250,91647,132201
449523062,135,48,2785849,2785849,32,32
449523062,135,48,2785850,2785850,9174,9499
449523062,135,48,2785851,2785851,11,11
449523062,135,48,2785852,2785852,24,25
449523062,135,48,2785853,2785853,19,19
449523062,135,48,2785854,2785854,3464,3562
449523062,135,48,2785855,2785855,65,72
449523062,135,48,2785856,2785856,114,120
449523062,135,48,2786044,2786044,184,190
449523062,135,48,2786045,2786045,167,170
449523062,135,48,2786046,2786046,201,206
449523062,135,48,2786047,2786047,1611,1687
449523062,135,48,2786048,2786048,154,181
449523062,135,48,2786049,2786049,347,354
449523062,135,48,2786050,2786050,3059,3146
449523062,135,48,2786051,2786051,734,767
449523062,135,48,2786052,2786052,2406,2601
449523062,135,48,2786053,2786053,301,313
449523062,135,48,2786054,2786054,22980,24628
449523062,135,48,2786055,2786055,16171,18011
449523062,135,48,2786056,2786056,7985,8723
449523062,135,48,2786057,2786057,197,200
449523062,135,48,2786058,2786058,40051,42939
449523062,135,48,2786059,2786059,35099,39581
449523062,135,48,2786060,2786060,570,582
449523062,135,48,2786061,2786061,13,13
449523062,135,48,2786062,2786062,1257,1297
449523062,135,48,2786063,2786063,2128,2245
449523062,135,48,2786064,2786064,37,56
449523062,135,48,2786065,2786065,5,5
449523062,135,48,2786066,2786066,469,521
449523062,135,48,2786067,2786067,702,890
449523062,135,48,2786407,2786407,20,20
449523062,135,48,2786410,2786410,5,5
449523062,135,48,2786413,2786413,8,8
449523062,135,48,2786416,2786416,6,7
449523062,135,48,2786419,2786419,11,12
449523062,135,48,2786422,2786422,118,119
449523062,135,48,2786425,2786425,96,99
449523062,135,48,2786617,2786617,177,178
449523062,135,48,2786620,2786620,98,102
449523062,135,48,2786629,2786629,-5,-5
449523062,135,48,2786632,2786632,25,25
449523062,135,48,2786635,2786635,15,15
449523062,135,48,2786638,2786638,-5,-5
449523062,135,48,2786641,2786641,13,13
449523062,135,48,2787377,2787377,225,228
449523062,135,48,2787379,2787379,10,10
449523062,135,48,2787571,2787571,9,9
449523062,135,48,2787573,2787573,54,54
449523062,135,48,2787575,2787575,36,37
449523062,135,48,2787577,2787577,9,10
449523062,135,48,2787579,2787579,63,63
449523062,135,48,2787581,2787581,60,61
449523062,135,48,2787583,2787583,12,12
449523062,135,48,2787585,2787585,40,40
449523062,135,48,2787587,2787587,21,21
449523062,135,48,2787589,2787589,-5,-5
449523062,135,48,2787591,2787591,11,11
449523062,135,48,2787593,2787593,8,8
449523062,135,48,2787595,2787595,7,7
449523062,135,48,2788411,2788411,308,312
449523062,135,48,2788609,2788609,35,35
449523062,135,48,2788611,2788611,-5,-5
449523062,135,48,2788613,2788613,19,19
449523062,135,48,2788615,2788615,23,23
449523062,135,48,2788617,2788617,27,27
449523062,135,48,2788619,2788619,69,70
449523062,135,48,2788621,2788621,205,205
449523062,135,48,2788623,2788623,253,255
449523062,135,48,2788625,2788625,165,166
449523062,135,48,2788627,2788627,28,28
449523062,135,48,2788629,2788629,225,235
449523062,135,48,4138036,2001543,197,202
449523062,135,48,4230911,2006918,15488,18569
449523062,135,48,4230911,38003273,951891,1226325
449523062,135,48,4316729,2211776,556,1790
449523062,135,48,42628042,42628042,228,240
449523062,135,48,43533197,43533197,797,823
449523062,135,48,46257454,46257454,11643,12536
449523062,144,44,4296653,35207684,77022,278411
449523062,144,44,4296653,45557536,10094,28370
449523062,144,44,4296653,45572080,4962,17389
449523062,144,44,4296653,45576865,24470,93400
449523062,144,44,4296653,45605779,30154,122103
449523062,144,44,43020460,45572079,17420,75685
449523062,144,44,45766075,1569127,-5,-5
449523062,144,44,46270162,45562340,2860,8241
449523062,144,44,46270163,45533436,16946,65349
449523062,144,45,4270024,35207685,250190,1737920
449523062,144,45,36712982,45586574,339,813
449523062,144,45,36712982,45601024,154052,552733
449523062,144,46,1552138,1552138,618,724
449523062,144,46,2107213,2107213,199,295
449523062,144,46,2313801,2313801,-5,-5
449523062,144,46,2313803,2313803,-5,-5
449523062,144,46,2617369,2617369,-5,-5
449523062,144,46,2725468,2725468,-5,-5
449523062,144,46,2725469,2725469,16,16
449523062,144,46,2725470,2725470,141,177
449523062,144,46,2725471,2725471,-5,-5
449523062,144,46,2725472,2725472,11,20
449523062,144,46,2725475,2725475,-5,-5
449523062,144,46,2725476,2725476,26,26
449523062,144,46,2725478,2725478,-5,-5
449523062,144,46,2725897,2725897,46,60
449523062,144,46,2725899,2725899,7,8
449523062,144,46,2725902,2725902,-5,-5
449523062,144,46,2725903,2725903,20,20
449523062,144,46,2725904,2725904,1525,1636
449523062,144,46,2725905,2725905,51614,58017
449523062,144,46,2725906,2725906,68,92
449523062,144,46,2725907,2725907,3148,3790
449523062,144,46,2725909,2725909,-5,-5
449523062,144,46,2725910,2725910,425,441
449523062,144,46,2725911,2725911,9001,9730
449523062,144,46,2725912,2725912,5,5
449523062,144,46,2725913,2725913,138,162
449523062,144,46,2725915,2725915,12,16
