concept_id,concept_count,subject_count,cohort_id,database_id,domain_field,domain_table
45562340,886,288,135,449523062,condition_source_concept_id,condition_occurrence
46270162,886,288,135,449523062,condition_concept_id,condition_occurrence
45572080,5288,1432,135,449523062,condition_source_concept_id,condition_occurrence
45557536,6552,1605,135,449523062,condition_source_concept_id,condition_occurrence
46270163,22844,5623,135,449523062,condition_concept_id,condition_occurrence
45533436,22844,5623,135,449523062,condition_source_concept_id,condition_occurrence
45572079,23742,5482,135,449523062,condition_source_concept_id,condition_occurrence
43020460,23742,5482,135,449523062,condition_concept_id,condition_occurrence
45576865,33710,6170,135,449523062,condition_source_concept_id,condition_occurrence
35207684,46912,13013,135,449523062,condition_source_concept_id,condition_occurrence
45605779,51460,8679,135,449523062,condition_source_concept_id,condition_occurrence
4296653,143922,18380,135,449523062,condition_concept_id,condition_occurrence
45562340,118,43,144,449523062,condition_source_concept_id,condition_occurrence
46270162,118,43,144,449523062,condition_concept_id,condition_occurrence
45572080,986,258,144,449523062,condition_source_concept_id,condition_occurrence
45557536,1140,279,144,449523062,condition_source_concept_id,condition_occurrence
45572079,4100,993,144,449523062,condition_source_concept_id,condition_occurrence
43020460,4100,993,144,449523062,condition_concept_id,condition_occurrence
46270163,4270,1080,144,449523062,condition_concept_id,condition_occurrence
45533436,4270,1080,144,449523062,condition_source_concept_id,condition_occurrence
45576865,6108,1160,144,449523062,condition_source_concept_id,condition_occurrence
35207684,8018,2350,144,449523062,condition_source_concept_id,condition_occurrence
45605779,9570,1697,144,449523062,condition_source_concept_id,condition_occurrence
4296653,25822,3552,144,449523062,condition_concept_id,condition_occurrence
