cohort_id,concept_set_id,concept_id,database_id
135,44,43020460,449523062
144,44,43020460,449523062
135,44,604429,449523062
144,44,604429,449523062
135,46,2787194,449523062
144,46,2787194,449523062
135,46,4216130,449523062
144,46,4216130,449523062
135,46,35614217,449523062
144,46,35614217,449523062
135,46,35614214,449523062
144,46,35614214,449523062
135,46,43533247,449523062
144,46,43533247,449523062
135,46,42894601,449523062
144,46,42894601,449523062
135,46,42894656,449523062
144,46,42894656,449523062
135,47,38004286,449523062
144,47,38004286,449523062
135,48,44805202,449523062
144,48,44805202,449523062
135,48,4199240,449523062
144,48,4199240,449523062
135,48,2787571,449523062
144,48,2787571,449523062
135,46,3655776,449523062
144,46,3655776,449523062
135,46,35614200,449523062
144,46,35614200,449523062
135,46,35614232,449523062
144,46,35614232,449523062
135,46,42894467,449523062
144,46,42894467,449523062
135,46,42894672,449523062
144,46,42894672,449523062
135,46,2725927,449523062
144,46,2725927,449523062
135,46,42894595,449523062
144,46,42894595,449523062
135,46,42894474,449523062
144,46,42894474,449523062
135,47,38004291,449523062
144,47,38004291,449523062
135,48,2786413,449523062
144,48,2786413,449523062
135,46,45761128,449523062
144,46,45761128,449523062
135,46,42894694,449523062
144,46,42894694,449523062
135,46,42894682,449523062
144,46,42894682,449523062
135,46,42894596,449523062
144,46,42894596,449523062
135,46,2725473,449523062
144,46,2725473,449523062
135,46,2725477,449523062
144,46,2725477,449523062
135,46,42894613,449523062
144,46,42894613,449523062
135,46,43527999,449523062
144,46,43527999,449523062
135,46,37018743,449523062
144,46,37018743,449523062
135,48,2786416,449523062
144,48,2786416,449523062
135,48,2786632,449523062
144,48,2786632,449523062
135,48,2788623,449523062
144,48,2788623,449523062
135,48,40491498,449523062
144,48,40491498,449523062
135,44,35611570,449523062
144,44,35611570,449523062
135,44,3661642,449523062
144,44,3661642,449523062
135,46,43528003,449523062
144,46,43528003,449523062
135,46,42894476,449523062
144,46,42894476,449523062
135,46,42894705,449523062
144,46,42894705,449523062
135,46,2725467,449523062
144,46,2725467,449523062
135,46,42894588,449523062
144,46,42894588,449523062
135,46,2725956,449523062
144,46,2725956,449523062
135,46,2725945,449523062
144,46,2725945,449523062
135,46,42894666,449523062
144,46,42894666,449523062
135,46,35614227,449523062
144,46,35614227,449523062
135,46,35614240,449523062
144,46,35614240,449523062
135,46,2001501,449523062
144,46,2001501,449523062
135,46,2787195,449523062
144,46,2787195,449523062
135,48,2616271,449523062
144,48,2616271,449523062
135,48,4151632,449523062
144,48,4151632,449523062
135,44,3661502,449523062
144,44,3661502,449523062
135,46,4171077,449523062
144,46,4171077,449523062
135,46,2725904,449523062
144,46,2725904,449523062
135,46,42894681,449523062
144,46,42894681,449523062
135,46,42894680,449523062
144,46,42894680,449523062
135,46,2725482,449523062
144,46,2725482,449523062
135,46,35614223,449523062
144,46,35614223,449523062
135,46,35614213,449523062
144,46,35614213,449523062
135,47,8920,449523062
144,47,8920,449523062
135,48,37311810,449523062
144,48,37311810,449523062
135,48,4307818,449523062
144,48,4307818,449523062
135,48,4330376,449523062
144,48,4330376,449523062
135,48,4199235,449523062
144,48,4199235,449523062
135,44,4296653,449523062
144,44,4296653,449523062
135,45,37395582,449523062
144,45,37395582,449523062
135,46,35607959,449523062
144,46,35607959,449523062
135,46,35614226,449523062
144,46,35614226,449523062
135,46,42894477,449523062
144,46,42894477,449523062
135,46,2725922,449523062
144,46,2725922,449523062
135,46,42894623,449523062
144,46,42894623,449523062
135,48,37209048,449523062
144,48,37209048,449523062
135,48,2313873,449523062
144,48,2313873,449523062
135,48,2786046,449523062
144,48,2786046,449523062
135,48,4179324,449523062
144,48,4179324,449523062
135,44,3661644,449523062
144,44,3661644,449523062
135,46,37111313,449523062
144,46,37111313,449523062
135,46,2725918,449523062
144,46,2725918,449523062
135,46,2725480,449523062
144,46,2725480,449523062
135,47,581384,449523062
144,47,581384,449523062
135,47,581383,449523062
144,47,581383,449523062
135,48,2786410,449523062
144,48,2786410,449523062
135,48,4335824,449523062
144,48,4335824,449523062
135,48,4234778,449523062
144,48,4234778,449523062
135,46,3181809,449523062
144,46,3181809,449523062
135,46,3173558,449523062
144,46,3173558,449523062
135,46,3655775,449523062
144,46,3655775,449523062
135,46,43531440,449523062
144,46,43531440,449523062
135,46,2725900,449523062
144,46,2725900,449523062
135,46,42894708,449523062
144,46,42894708,449523062
135,46,2725965,449523062
144,46,2725965,449523062
135,48,46273020,449523062
144,48,46273020,449523062
135,48,4250325,449523062
144,48,4250325,449523062
135,44,3661643,449523062
144,44,3661643,449523062
135,46,3180695,449523062
144,46,3180695,449523062
135,46,45768093,449523062
144,46,45768093,449523062
135,46,2725923,449523062
144,46,2725923,449523062
135,46,42894643,449523062
144,46,42894643,449523062
135,46,2725925,449523062
144,46,2725925,449523062
135,46,2725966,449523062
144,46,2725966,449523062
135,46,44789455,449523062
144,46,44789455,449523062
135,46,45759254,449523062
144,46,45759254,449523062
135,48,2786407,449523062
144,48,2786407,449523062
135,48,2786617,449523062
144,48,2786617,449523062
135,48,4196155,449523062
144,48,4196155,449523062
135,46,43531438,449523062
144,46,43531438,449523062
135,46,35614249,449523062
144,46,35614249,449523062
135,46,43533187,449523062
144,46,43533187,449523062
135,46,2725911,449523062
144,46,2725911,449523062
135,46,42894692,449523062
144,46,42894692,449523062
135,47,38004282,449523062
144,47,38004282,449523062
135,48,44514109,449523062
144,48,44514109,449523062
135,48,2785849,449523062
144,48,2785849,449523062
135,48,2787583,449523062
144,48,2787583,449523062
135,44,46270158,449523062
144,44,46270158,449523062
135,46,3661699,449523062
144,46,3661699,449523062
135,46,42894472,449523062
144,46,42894472,449523062
135,46,42894475,449523062
144,46,42894475,449523062
135,46,42894669,449523062
144,46,42894669,449523062
135,46,2313804,449523062
144,46,2313804,449523062
135,46,35607668,449523062
144,46,35607668,449523062
135,48,4019824,449523062
144,48,4019824,449523062
135,48,2313800,449523062
144,48,2313800,449523062
135,48,2788615,449523062
144,48,2788615,449523062
135,48,4267123,449523062
144,48,4267123,449523062
135,44,35611571,449523062
144,44,35611571,449523062
135,44,3661503,449523062
144,44,3661503,449523062
135,46,35614208,449523062
144,46,35614208,449523062
135,46,35614211,449523062
144,46,35614211,449523062
135,46,35614215,449523062
144,46,35614215,449523062
135,46,35614224,449523062
144,46,35614224,449523062
135,46,35614239,449523062
144,46,35614239,449523062
135,46,2725957,449523062
144,46,2725957,449523062
135,48,2785856,449523062
144,48,2785856,449523062
135,48,2313914,449523062
144,48,2313914,449523062
135,48,4305021,449523062
144,48,4305021,449523062
135,48,4203365,449523062
144,48,4203365,449523062
135,48,43021737,449523062
144,48,43021737,449523062
135,46,2725917,449523062
144,46,2725917,449523062
135,46,42894717,449523062
144,46,42894717,449523062
135,46,35614254,449523062
144,46,35614254,449523062
135,46,35614255,449523062
144,46,35614255,449523062
135,48,2616263,449523062
144,48,2616263,449523062
135,48,710016,449523062
144,48,710016,449523062
135,48,2786054,449523062
144,48,2786054,449523062
135,48,2786623,449523062
144,48,2786623,449523062
135,48,2313799,449523062
144,48,2313799,449523062
135,48,4265040,449523062
144,48,4265040,449523062
135,46,42894624,449523062
144,46,42894624,449523062
135,47,32254,449523062
144,47,32254,449523062
135,46,40756929,449523062
144,46,40756929,449523062
135,46,35614199,449523062
144,46,35614199,449523062
135,46,43533353,449523062
144,46,43533353,449523062
