cohort_id,time_id,covariate_id,count_value,min_value,max_value,mean,sd,median_value,p_10_value,p_25_value,p_75_value,p_90_value,database_id
135,0,1010,19304,0,2757,719.402507,687.5893103873852,480,42,168,1098,1812,449523062
144,0,1010,3794,0,2736,731.283342,687.8737894599561,506,40,179,1123,1822,449523062
135,0,1901,19304,-5,20,3.586096,2.72978717119119,3,1,1,5,7,449523062
144,0,1901,3794,-5,18,3.532156,2.6568675164561744,3,1,1,5,7,449523062
135,0,1904,19304,-5,9,3.457936,1.5872595880951545,3,2,2,4,6,449523062
144,0,1904,3794,-5,9,3.435952,1.5625575189413028,2,1,1,2,2,449523062
135,0,1008,19304,0,3102,958.403699,762.2591157808479,741,130,379,1406,2171,449523062
144,0,1008,3794,0,3100,961.918819,764.7197834618901,747,128,381,1416,2178,449523062
135,0,1902,14131,0,13,2.266939,1.9987180891761598,2,0,0,3,5,449523062
144,0,1902,2750,0,12,2.185293,1.9097868991068088,2,0,0,3,5,449523062
135,0,1009,19304,0,2757,719.402507,687.5893103873852,480,42,168,1098,1812,449523062
144,0,1009,3794,0,2736,731.283342,687.8737894599561,506,40,179,1123,1822,449523062
135,0,1002,19304,18,85,63.888987,11.902222775599522,64,48,56,73,80,449523062
144,0,1002,3794,18,85,64.003954,11.972890336088442,64,48,56,74,80,449523062
144,0,1903,3794,0,6,1.693727,1.2465729019997185,2,0,1,2,3,449523062
135,0,1903,19304,0,6,1.71208,1.271873814495762,2,0,1,2,3,449523062
