cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,NA,19304,19304,13906650,13906650,19304,19304,19304,19304,19304,19304
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,NA,13601,13601,9800169,9800169,13601,13601,13601,13601,13601,13601
135,449523062,2015-01-01,2023-07-31,T1,c,No matching concept,NA,-5,-5,123,123,-5,-5,-5,-5,-5,-5
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,NA,5702,5702,4106358,4106358,5702,5702,5702,5702,5702,5702
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,20-29,135,135,80433,80433,135,135,135,135,135,135
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,30-39,756,756,393221,393221,756,756,756,756,756,756
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,40-49,2835,2835,1687912,1687912,2835,2835,2835,2835,2835,2835
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,60-69,5273,5273,3945735,3945735,5273,5273,5273,5273,5273,5273
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,70-79,4634,4634,4196285,4196285,4634,4634,4634,4634,4634,4634
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,50-59,5640,5640,3589999,3589999,5640,5640,5640,5640,5640,5640
135,449523062,2015-01-01,2023-07-31,T1,c,NULL,10-19,31,31,13065,13065,31,31,31,31,31,31
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,70-79,2559,2559,2394742,2394742,2559,2559,2559,2559,2559,2559
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,70-79,2075,2075,1801543,1801543,2075,2075,2075,2075,2075,2075
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,30-39,177,177,84749,84749,177,177,177,177,177,177
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,30-39,579,579,308472,308472,579,579,579,579,579,579
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,10-19,13,13,6014,6014,13,13,13,13,13,13
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,10-19,18,18,7051,7051,18,18,18,18,18,18
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,20-29,35,35,28640,28640,35,35,35,35,35,35
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,40-49,2291,2291,1373638,1373638,2291,2291,2291,2291,2291,2291
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,60-69,3713,3713,2814071,2814071,3713,3713,3713,3713,3713,3713
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,20-29,100,100,51793,51793,100,100,100,100,100,100
135,449523062,2015-01-01,2023-07-31,T1,c,MALE,50-59,4341,4341,2850402,2850402,4341,4341,4341,4341,4341,4341
135,449523062,2015-01-01,2023-07-31,T1,c,No matching concept,50-59,-5,-5,123,123,-5,-5,-5,-5,-5,-5
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,50-59,1298,1298,739474,739474,1298,1298,1298,1298,1298,1298
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,40-49,544,544,314274,314274,544,544,544,544,544,544
135,449523062,2015-01-01,2023-07-31,T1,c,FEMALE,60-69,1560,1560,1131664,1131664,1560,1560,1560,1560,1560,1560
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,NA,21944,19304,33693923,0,21944,19304,0,21944,19304,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,NA,15524,13601,23391145,0,15524,13601,0,15524,13601,0
135,449523062,2015-01-01,2023-07-31,T2,c,No matching concept,NA,-5,-5,2132,0,-5,-5,0,-5,-5,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,NA,6418,5702,10300646,0,6418,5702,0,6418,5702,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,20-29,158,135,182886,0,158,135,0,158,135,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,30-39,926,756,1040629,0,926,756,0,926,756,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,40-49,3406,2835,4200625,0,3406,2835,0,3406,2835,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,60-69,5922,5273,9228384,0,5922,5273,0,5922,5273,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,70-79,4827,4634,10298923,0,4827,4634,0,4827,4634,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,50-59,6671,5640,8691874,0,6671,5640,0,6671,5640,0
135,449523062,2015-01-01,2023-07-31,T2,c,NULL,10-19,34,31,50602,0,34,31,0,34,31,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,70-79,2648,2559,5730860,0,2648,2559,0,2648,2559,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,70-79,2179,2075,4568063,0,2179,2075,0,2179,2075,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,30-39,211,177,225808,0,211,177,0,211,177,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,30-39,715,579,814821,0,715,579,0,715,579,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,10-19,15,13,19996,0,15,13,0,15,13,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,10-19,19,18,30606,0,19,18,0,19,18,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,20-29,39,35,53544,0,39,35,0,39,35,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,40-49,2759,2291,3408036,0,2759,2291,0,2759,2291,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,60-69,4128,3713,6461776,0,4128,3713,0,4128,3713,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,20-29,119,100,129342,0,119,100,0,119,100,0
135,449523062,2015-01-01,2023-07-31,T2,c,MALE,50-59,5136,4341,6815704,0,5136,4341,0,5136,4341,0
135,449523062,2015-01-01,2023-07-31,T2,c,No matching concept,50-59,-5,-5,2132,0,-5,-5,0,-5,-5,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,50-59,1533,1298,1874038,0,1533,1298,0,1533,1298,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,40-49,647,544,792589,0,647,544,0,647,544,0
135,449523062,2015-01-01,2023-07-31,T2,c,FEMALE,60-69,1794,1560,2766608,0,1794,1560,0,1794,1560,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,NA,9342,9342,289602,0,9342,9342,0,34,34,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,NA,6416,6416,198896,0,6416,6416,0,23,23,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,NA,2926,2926,90706,0,2926,2926,0,11,11,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,70-79,3438,3438,106578,0,3438,3438,0,-5,-5,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,30-39,248,248,7688,0,248,248,0,-5,-5,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,10-19,12,12,372,0,12,12,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,40-49,1024,1024,31744,0,1024,1024,0,12,12,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,20-29,32,32,992,0,32,32,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,50-59,2328,2328,72168,0,2328,2328,0,11,11,0
135,449523062,2015-01-01,2015-01-31,T2,m,NULL,60-69,2260,2260,70060,0,2260,2260,0,9,9,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,20-29,11,11,341,0,11,11,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,10-19,8,8,248,0,8,8,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,40-49,198,198,6138,0,198,198,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,70-79,1515,1515,46965,0,1515,1515,0,-5,-5,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,60-69,1612,1612,49972,0,1612,1612,0,-5,-5,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,70-79,1923,1923,59613,0,1923,1923,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,40-49,826,826,25606,0,826,826,0,12,12,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,60-69,648,648,20088,0,648,648,0,5,5,0
135,449523062,2015-01-01,2015-01-31,T2,m,MALE,20-29,21,21,651,0,21,21,0,0,0,0
135,449523062,2015-01-01,2015-01-31,T2,m,FEMALE,30-39,55,55,1705,0,55,55,0,0,0,0
