cohort_id,visit_concept_id,visit_context,subjects,database_id
135,32036,After,2261,449523062
135,42898160,After,57,449523062
144,262,During visit,-5,449523062
135,262,On visit start,16539,449523062
135,581478,Before,366,449523062
135,581476,During visit,-5,449523062
135,9202,Before,9271,449523062
144,262,On visit start,3150,449523062
135,9201,After,3327,449523062
135,262,After,742,449523062
135,581476,After,574,449523062
144,581478,Before,64,449523062
135,9203,During visit,5,449523062
144,9201,After,563,449523062
144,32036,After,468,449523062
135,42898160,Before,-5,449523062
144,262,After,122,449523062
144,5083,After,44,449523062
144,9201,On visit start,658,449523062
144,32036,Before,256,449523062
144,581478,On visit start,-5,449523062
144,581478,After,151,449523062
135,9201,Before,412,449523062
144,9203,After,500,449523062
135,32036,On visit start,-5,449523062
144,581476,After,104,449523062
135,581478,After,837,449523062
144,581476,During visit,-5,449523062
135,9201,During visit,32,449523062
144,581476,Before,15,449523062
135,32036,Before,1458,449523062
135,581458,Before,8275,449523062
144,9201,Before,64,449523062
144,42898160,After,8,449523062
144,9202,During visit,24,449523062
144,9203,Before,214,449523062
135,9202,On visit start,862,449523062
135,9203,After,2668,449523062
144,9201,During visit,7,449523062
144,9203,On visit start,12,449523062
135,5083,On visit start,-5,449523062
135,9202,After,16436,449523062
144,262,Before,29,449523062
135,262,During visit,22,449523062
144,581458,Before,1624,449523062
135,581458,After,13256,449523062
135,9203,Before,1162,449523062
144,9202,Before,1808,449523062
135,581458,On visit start,580,449523062
135,9201,On visit start,2868,449523062
135,9203,On visit start,182,449523062
144,581458,On visit start,121,449523062
144,581458,After,2618,449523062
144,9202,On visit start,160,449523062
144,5083,Before,25,449523062
135,262,Before,205,449523062
144,9202,After,3244,449523062
135,581476,Before,91,449523062
135,9202,During visit,86,449523062
135,581478,On visit start,72,449523062
135,5083,Before,113,449523062
135,5083,After,242,449523062
