database_id,cohort_definition_id,inclusion_rule_mask,person_count,mode_id
449523062,144,9,548,1
449523062,144,14,8,1
449523062,135,5,3043,0
449523062,135,0,204,0
449523062,135,8,69,0
449523062,135,12,80,0
449523062,135,11,3785,1
449523062,135,13,9418,1
449523062,135,11,3785,0
449523062,135,13,9418,0
449523062,144,15,3794,0
449523062,144,10,6,0
449523062,144,3,1,0
449523062,135,14,51,0
449523062,135,9,7737,0
449523062,135,4,14,0
449523062,135,2,1,0
449523062,135,15,19304,0
449523062,135,3,415,0
449523062,135,10,12,0
449523062,135,9,7737,1
449523062,135,14,51,1
449523062,135,1,38878,1
449523062,135,7,225,1
449523062,135,0,204,1
449523062,135,5,3043,1
449523062,135,8,69,1
449523062,135,12,80,1
449523062,135,4,14,1
449523062,135,2,1,1
449523062,144,5,2,0
449523062,144,8,5,0
449523062,144,12,9,0
449523062,144,1,5,1
449523062,144,7,1,1
449523062,135,15,19304,1
449523062,135,3,415,1
449523062,135,10,12,1
449523062,144,11,751,0
449523062,144,13,971,0
449523062,144,3,1,1
449523062,144,10,6,1
449523062,144,15,3794,1
449523062,144,11,751,1
449523062,144,13,971,1
449523062,144,14,8,0
449523062,144,9,548,0
449523062,144,7,1,0
449523062,144,1,5,0
449523062,135,1,38878,0
449523062,135,7,225,0
449523062,144,5,2,1
449523062,144,8,5,1
449523062,144,12,9,1
