database_id,cohort_definition_id,rule_sequence,person_count,gain_count,person_total,mode_id
449523062,144,3,6092,1,6101,1
449523062,135,3,40456,225,83236,0
449523062,144,2,4785,751,6101,0
449523062,144,1,4561,971,6101,0
449523062,144,2,4785,751,6101,1
449523062,144,1,4561,971,6101,1
449523062,135,2,32135,3785,83236,0
449523062,135,1,23793,9418,83236,0
449523062,144,0,6073,8,6101,1
449523062,144,0,6073,8,6101,0
449523062,135,0,82805,51,83236,0
449523062,135,2,32135,3785,83236,1
449523062,135,1,23793,9418,83236,1
449523062,135,3,40456,225,83236,1
449523062,135,0,82805,51,83236,1
449523062,144,3,6092,1,6101,0
